# Spherical harmonics problem 2021/03/23 19:57:02
order 2
N 16
# theta phi I
1.278424e+00 1.764746e+00 5.260192e-01 
2.502126e+00 5.555694e+00 3.487121e-01 
3.857414e-01 5.238964e+00 2.798198e-01 
2.543472e+00 4.059762e-01 3.144121e-01 
8.114661e-01 3.482807e+00 2.402917e-01 
2.535693e+00 6.181267e+00 3.019549e-01 
9.753704e-01 4.584966e+00 4.475425e-01 
1.396514e+00 5.572136e+00 5.084461e-01 
1.804128e+00 1.263468e+00 5.033376e-01 
1.694152e+00 1.587450e+00 5.965876e-01 
2.401892e+00 2.474026e+00 5.628630e-01 
2.756355e+00 2.704860e+00 4.509164e-01 
3.898606e-01 5.269002e+00 2.806811e-01 
1.551753e+00 2.718455e+00 5.159078e-01 
1.355567e+00 1.207413e+00 4.158688e-01 
1.359731e+00 1.563251e+00 5.164671e-01 
# Exact (~1e-8) pressure tensor
2.922367e-01 1.637988e-02 -1.862906e-02 
1.637988e-02 3.193446e-01 -3.530364e-02 
-1.862906e-02 -3.530364e-02 3.884187e-01 
