# Spherical harmonics problem 2021/03/23 19:56:58
order 1
N 64
# theta phi I
1.789101e+00 4.295425e+00 4.408759e-01 
1.340622e+00 1.161554e-01 2.590135e-01 
2.282438e+00 3.121536e+00 4.597506e-01 
1.722150e+00 4.982742e+00 3.357759e-01 
6.388021e-01 4.324629e+00 5.184959e-01 
1.299228e+00 2.869275e+00 5.846594e-01 
2.165411e+00 5.506402e+00 2.391945e-01 
2.924889e+00 2.734746e+00 3.316804e-01 
1.607209e+00 4.490601e-01 2.439389e-01 
4.297406e-01 3.197488e+00 5.633446e-01 
2.326375e+00 3.251545e+00 4.503899e-01 
2.518997e+00 9.059079e-01 2.553612e-01 
7.282607e-01 5.093966e+00 4.322682e-01 
2.023235e+00 2.017858e+00 4.220442e-01 
1.855044e+00 2.425690e+00 4.945368e-01 
1.134734e+00 5.025234e+00 3.927709e-01 
5.621308e-01 1.220969e-01 3.969827e-01 
3.825486e-01 4.202190e+00 5.247741e-01 
2.245708e+00 1.817207e-01 2.046525e-01 
1.908630e+00 5.908352e+00 2.148851e-01 
1.251166e+00 1.904450e+00 4.867857e-01 
3.100286e+00 7.176029e-01 2.904495e-01 
2.080773e+00 2.804930e+00 4.889054e-01 
5.169718e-01 1.516339e+00 4.857369e-01 
1.670064e+00 2.015995e+00 4.639821e-01 
8.201634e-01 1.231083e+00 4.302379e-01 
6.389683e-01 3.103342e+00 5.829744e-01 
6.594039e-01 1.275415e+00 4.521900e-01 
7.589095e-01 5.721509e+00 3.741872e-01 
1.520898e+00 4.937721e+00 3.633836e-01 
2.064524e+00 3.937662e+00 4.524337e-01 
2.387180e+00 7.087839e-01 2.368435e-01 
9.055161e-01 2.892269e+00 5.925223e-01 
3.749848e-01 3.913208e+00 5.388676e-01 
7.387534e-01 7.359739e-01 3.921674e-01 
1.824942e+00 4.071006e+00 4.687498e-01 
1.209817e+00 6.063882e+00 2.801336e-01 
1.147111e+00 6.123507e-01 3.166241e-01 
1.708822e+00 5.882859e+00 2.290110e-01 
2.224999e+00 9.564864e-01 2.604647e-01 
1.966066e+00 5.938005e+00 2.110527e-01 
1.069238e+00 2.487461e+00 5.681427e-01 
1.088659e+00 3.710243e+00 5.719527e-01 
6.403824e-01 1.961190e+00 5.220234e-01 
1.373335e+00 1.452918e+00 4.025931e-01 
1.336035e+00 5.609629e+00 2.923826e-01 
1.168523e+00 5.387680e+00 3.398145e-01 
1.524183e+00 5.532817e+00 2.779307e-01 
2.417197e+00 1.664388e-01 2.111112e-01 
1.783294e+00 2.010029e+00 4.502083e-01 
1.131778e+00 1.967857e+00 5.046887e-01 
1.074697e+00 1.123871e+00 3.861229e-01 
1.045586e+00 1.557415e+00 4.514027e-01 
2.306472e+00 2.491017e+00 4.308545e-01 
6.100716e-01 4.716853e+00 4.815385e-01 
2.115396e+00 3.175313e-01 2.084971e-01 
2.110276e+00 6.006902e+00 2.052755e-01 
9.095979e-02 3.559250e+00 5.158631e-01 
2.265503e+00 5.631421e-01 2.239136e-01 
1.468499e+00 5.384535e+00 3.022274e-01 
1.478915e+00 1.229530e-01 2.413474e-01 
4.765304e-01 3.657871e+00 5.577280e-01 
1.374499e+00 9.666353e-01 3.271147e-01 
2.300139e+00 4.229903e+00 3.866891e-01 
# Exact (~1e-8) pressure tensor
3.333333e-01 0.000000e+00 0.000000e+00 
0.000000e+00 3.333333e-01 0.000000e+00 
0.000000e+00 0.000000e+00 3.333333e-01 
