# Spherical harmonics problem 2021/03/23 19:56:57
order 1
N 32
# theta phi I
6.072191e-01 4.508148e+00 4.100382e-01 
2.797557e+00 1.762645e+00 3.870883e-01 
1.327830e+00 5.627035e+00 4.020078e-01 
1.664579e+00 3.569201e+00 3.998022e-01 
2.604362e+00 2.141168e+00 3.881498e-01 
3.805171e-01 1.968576e+00 4.095765e-01 
1.165910e+00 1.969311e+00 4.024455e-01 
7.458447e-01 2.260145e+00 4.072636e-01 
2.918514e+00 2.453391e+00 3.871972e-01 
1.262216e+00 4.200124e+00 4.048257e-01 
2.644718e+00 2.677342e+00 3.885335e-01 
2.438449e+00 6.988484e-01 3.883411e-01 
5.827768e-01 1.229036e+00 4.076848e-01 
8.646570e-01 2.683781e-01 4.053758e-01 
2.255657e+00 3.581242e+00 3.929154e-01 
2.145657e+00 1.344073e+00 3.905657e-01 
4.335865e-01 5.139733e+00 4.103497e-01 
1.377691e+00 7.084479e-01 3.990200e-01 
2.404655e+00 4.283885e+00 3.916365e-01 
1.426033e+00 2.472022e-01 3.989579e-01 
1.560731e+00 3.063738e-01 3.972399e-01 
1.310752e+00 4.604969e+00 4.040579e-01 
1.644986e+00 5.178921e+00 3.992394e-01 
3.967570e-01 5.041296e+00 4.105582e-01 
1.101246e+00 4.401741e+00 4.063954e-01 
1.297410e+00 1.502695e-01 4.006681e-01 
2.244046e+00 4.525217e-01 3.898893e-01 
3.960545e-01 1.760347e+00 4.093423e-01 
1.754691e+00 2.016256e+00 3.955404e-01 
1.580641e+00 2.608170e+00 3.989257e-01 
2.388126e+00 2.632383e+00 3.903107e-01 
1.729257e+00 8.901789e-01 3.947335e-01 
# Exact (~1e-8) pressure tensor
3.333333e-01 0.000000e+00 0.000000e+00 
0.000000e+00 3.333333e-01 0.000000e+00 
0.000000e+00 0.000000e+00 3.333333e-01 
