# Spherical harmonics problem 2021/03/23 19:57:03
order 2
N 16
# theta phi I
2.017168e+00 4.161399e+00 3.626907e-01 
1.459098e+00 1.774332e+00 4.816322e-01 
8.336699e-01 2.435683e+00 4.657237e-01 
1.918804e+00 2.081062e+00 4.233813e-01 
1.483273e+00 3.247207e+00 3.079479e-01 
1.184572e+00 1.786047e-02 3.725299e-01 
3.725209e-01 2.637038e+00 4.508693e-01 
1.135690e+00 2.952689e+00 3.758924e-01 
1.434183e+00 2.570928e+00 4.111756e-01 
2.521913e+00 4.905341e+00 4.303515e-01 
2.440874e+00 2.216163e+00 3.691674e-01 
2.523833e-01 1.580111e+00 4.612721e-01 
1.464496e-01 3.887708e+00 4.313370e-01 
3.536937e-01 5.559422e+00 4.240726e-01 
1.941132e+00 4.059366e+00 3.447010e-01 
2.807412e-01 2.056586e+00 4.623441e-01 
# Exact (~1e-8) pressure tensor
3.371724e-01 -4.620899e-03 1.078592e-02 
-4.620899e-03 3.129403e-01 -1.560272e-02 
1.078592e-02 -1.560272e-02 3.498873e-01 
