# Spherical harmonics problem 2021/03/23 19:57:04
order 2
N 64
# theta phi I
1.157207e+00 6.162824e-02 4.096068e-01 
1.358099e+00 4.231109e+00 2.577303e-01 
1.371171e+00 3.141682e+00 3.885711e-01 
8.840852e-01 3.688829e+00 2.854063e-01 
1.422545e+00 2.299085e+00 4.348212e-01 
1.710524e+00 4.162769e+00 3.289570e-01 
1.170960e+00 3.140440e+00 3.569394e-01 
1.228588e+00 3.408798e+00 3.174946e-01 
1.865162e+00 7.759815e-01 1.488060e-01 
3.650824e-01 8.952147e-01 5.307439e-01 
2.293136e+00 6.257960e+00 2.748394e-01 
2.027463e+00 1.144718e+00 1.944949e-01 
1.697721e+00 5.994520e+00 3.265593e-01 
1.483910e+00 3.075368e+00 4.248380e-01 
2.479004e+00 6.537096e-01 2.744913e-01 
5.656675e-01 4.990926e+00 4.537074e-01 
1.517872e+00 3.185338e+00 4.157773e-01 
1.222266e+00 5.140286e-01 3.209998e-01 
7.611378e-01 1.555428e+00 4.391922e-01 
2.439115e+00 5.058113e+00 4.681558e-01 
1.444297e+00 6.240577e+00 3.396242e-01 
1.315501e+00 6.109209e+00 3.950850e-01 
1.615025e+00 1.793225e+00 3.396555e-01 
2.021856e+00 4.041080e+00 4.452761e-01 
1.496889e+00 2.165209e+00 4.215945e-01 
1.868195e+00 4.195101e+00 3.766972e-01 
2.137478e+00 2.568330e+00 5.832798e-01 
1.411349e+00 8.057657e-01 2.278123e-01 
1.503826e+00 3.480449e+00 3.581516e-01 
1.510850e+00 1.048883e+00 2.042169e-01 
2.234132e+00 6.165409e-01 1.951418e-01 
1.124564e+00 5.252313e+00 4.158588e-01 
9.596629e-02 2.742766e+00 4.947141e-01 
1.311246e+00 9.417973e-01 2.572082e-01 
1.240641e+00 5.045687e+00 3.680923e-01 
1.867547e+00 5.561373e+00 3.644193e-01 
1.225248e+00 2.497187e-01 3.587324e-01 
1.385703e+00 5.590412e+00 4.114296e-01 
1.556533e+00 7.764643e-01 1.889310e-01 
1.201486e+00 7.873637e-01 3.018941e-01 
6.738779e-01 6.233350e+00 5.350427e-01 
2.017816e+00 6.246334e+00 2.507424e-01 
1.901893e+00 5.329207e-01 1.598869e-01 
1.856583e+00 1.681512e-01 2.169059e-01 
1.253770e+00 4.232613e+00 2.517709e-01 
2.229931e+00 3.787845e+00 5.487476e-01 
1.309033e+00 2.532022e-01 3.293715e-01 
1.908714e+00 2.245111e+00 4.872234e-01 
6.262158e-01 5.602579e+00 5.214555e-01 
2.676559e+00 2.287978e-01 3.631014e-01 
1.136340e+00 4.770020e+00 3.257424e-01 
8.673935e-01 2.212969e+00 4.273480e-01 
1.860286e+00 5.574289e+00 3.635428e-01 
2.223204e+00 1.487722e-01 2.356112e-01 
1.004734e+00 6.208831e+00 4.691755e-01 
1.432418e+00 1.935472e-01 3.000434e-01 
2.016109e+00 5.877092e+00 3.202680e-01 
1.103259e+00 5.983233e+00 4.610091e-01 
1.530664e+00 3.577733e+00 3.477518e-01 
2.080906e+00 6.214332e-01 1.651484e-01 
2.109288e+00 4.902008e+00 4.171146e-01 
2.340761e+00 2.498272e-01 2.477680e-01 
1.593199e+00 6.000898e+00 3.441485e-01 
1.792053e+00 1.669317e+00 3.084197e-01 
# Exact (~1e-8) pressure tensor
3.763724e-01 4.291382e-02 1.503903e-02 
4.291382e-02 3.230567e-01 -2.935542e-02 
1.503903e-02 -2.935542e-02 3.005709e-01 
