# Spherical harmonics problem 2021/03/23 19:56:59
order 1
N 128
# theta phi I
7.799533e-01 5.427955e+00 3.995220e-01 
1.786817e+00 4.780429e+00 3.845576e-01 
2.321043e+00 8.835546e-01 4.222342e-01 
1.436101e+00 1.330399e+00 4.209767e-01 
1.973166e+00 3.587284e+00 3.723005e-01 
1.390829e+00 9.039416e-01 4.270188e-01 
2.556966e+00 4.970218e+00 3.957062e-01 
1.527222e+00 5.286406e+00 3.981703e-01 
2.723852e+00 3.225836e+00 3.907146e-01 
2.420992e+00 6.193474e+00 4.166247e-01 
1.034218e+00 2.280772e-01 4.219655e-01 
2.879906e+00 1.999023e-01 4.089265e-01 
7.464501e-01 3.572740e+00 3.764627e-01 
2.208548e+00 6.049667e+00 4.171610e-01 
1.925488e+00 1.073974e+00 4.252920e-01 
2.903343e+00 2.062841e+00 4.024062e-01 
1.506812e+00 1.678504e+00 4.130187e-01 
9.951822e-01 1.035323e+00 4.205564e-01 
1.504274e+00 3.874429e+00 3.686234e-01 
1.635326e+00 3.709914e+00 3.687104e-01 
2.291976e+00 6.275195e+00 4.196457e-01 
9.984968e-01 2.624328e+00 3.860893e-01 
2.292099e+00 5.950228e+00 4.145097e-01 
4.871609e-01 5.460726e-01 4.107214e-01 
1.732745e+00 3.173786e+00 3.739522e-01 
1.805672e+00 4.604997e+00 3.804308e-01 
1.020060e+00 2.031368e+00 4.009675e-01 
1.551769e+00 4.367362e+00 3.742664e-01 
1.331904e+00 1.496590e+00 4.166638e-01 
7.553260e-01 5.557043e+00 4.020595e-01 
2.656181e+00 2.287265e+00 3.997012e-01 
1.896839e+00 1.476342e+00 4.182191e-01 
1.860799e+00 4.323817e+00 3.754172e-01 
1.386845e+00 2.225690e+00 3.966466e-01 
3.090421e+00 1.315655e-01 4.031343e-01 
1.772203e+00 1.692732e+00 4.131218e-01 
1.096649e+00 4.533156e+00 3.786924e-01 
8.669191e-01 3.838190e+00 3.740071e-01 
1.547932e+00 1.306671e+00 4.219664e-01 
1.922291e+00 1.330522e+00 4.211370e-01 
1.685204e+00 5.826397e+00 4.142759e-01 
1.260184e+00 5.906218e+00 4.144401e-01 
2.419311e+00 3.330419e+00 3.825315e-01 
1.120354e+00 4.769122e+00 3.836441e-01 
9.323998e-01 2.286023e+00 3.943455e-01 
1.765011e+00 4.439572e+00 3.766540e-01 
2.018309e+00 3.751384e+00 3.726723e-01 
2.087974e+00 5.273646e+00 3.994237e-01 
2.420468e-01 2.290897e+00 3.953138e-01 
1.174150e+00 3.133822e+00 3.747014e-01 
1.519807e+00 8.675515e-01 4.281260e-01 
1.852793e+00 5.104676e+00 3.938160e-01 
2.167920e+00 2.440841e+00 3.936787e-01 
1.747451e+00 4.298500e+00 3.740309e-01 
7.996711e-01 2.177391e+00 3.967445e-01 
7.312271e-01 1.800385e+00 4.041391e-01 
5.334909e-01 6.905375e-01 4.119644e-01 
1.729194e+00 2.050546e+00 4.028568e-01 
6.340501e-01 4.159206e+00 3.802111e-01 
1.804718e+00 5.688215e+00 4.106047e-01 
1.656000e+00 1.345011e+00 4.214140e-01 
1.424498e+00 5.208410e+00 3.955427e-01 
1.366855e+00 2.511003e+00 3.882823e-01 
1.270278e+00 2.318846e+00 3.936839e-01 
7.376273e-01 2.957728e+00 3.822819e-01 
1.797735e+00 1.951152e+00 4.059101e-01 
1.982322e+00 2.913791e-01 4.267234e-01 
1.840526e+00 4.224570e+00 3.737286e-01 
1.361005e+00 2.232046e+00 3.963956e-01 
1.742953e+00 3.151844e+00 3.743821e-01 
1.917267e+00 4.868412e+00 3.876967e-01 
1.930167e+00 1.096517e+00 4.249573e-01 
2.211650e+00 5.765747e-01 4.250506e-01 
6.957448e-01 3.404846e+00 3.783191e-01 
2.100513e+00 2.090485e+00 4.023465e-01 
2.440142e+00 5.103990e-01 4.206851e-01 
1.239644e+00 1.655616e+00 4.121196e-01 
2.196094e+00 5.131352e+00 3.962441e-01 
7.785771e-01 3.192894e-01 4.175476e-01 
2.278096e+00 2.379170e+00 3.958632e-01 
1.439120e+00 2.047331e+00 4.021573e-01 
3.013919e+00 5.065887e+00 4.007907e-01 
2.187905e+00 1.307921e+00 4.193774e-01 
2.846997e+00 1.441139e+00 4.074928e-01 
1.090536e+00 5.397014e+00 4.000586e-01 
1.105498e+00 1.845574e+00 4.062712e-01 
1.835437e+00 7.248649e-01 4.288542e-01 
1.579827e+00 1.924719e+00 4.062566e-01 
1.469573e+00 7.562714e-01 4.285985e-01 
2.061050e+00 5.213062e+00 3.977182e-01 
1.498766e+00 4.399521e+00 3.747666e-01 
9.003054e-01 4.366534e+00 3.778945e-01 
2.026328e+00 4.733547e+00 3.853037e-01 
1.460280e+00 4.736935e+00 3.822612e-01 
1.898689e+00 2.105963e+00 4.015806e-01 
3.208381e-01 3.091433e+00 3.886043e-01 
2.993389e+00 4.375392e-01 4.061584e-01 
2.126425e+00 1.593741e+00 4.144493e-01 
2.566701e+00 2.440193e+00 3.968069e-01 
8.944940e-01 5.085582e+00 3.919501e-01 
7.750903e-01 3.122458e+00 3.795099e-01 
2.638022e+00 5.020109e-01 4.160432e-01 
1.435293e+00 4.230563e+00 3.719622e-01 
1.152318e+00 4.762493e+00 3.833568e-01 
2.656226e-01 1.319648e+00 4.022337e-01 
1.716936e+00 3.874135e+00 3.694714e-01 
1.979889e+00 3.048255e+00 3.784604e-01 
1.834619e+00 3.128348e+00 3.755251e-01 
3.900246e-01 2.264095e+00 3.952182e-01 
2.205727e+00 1.300133e+00 4.193014e-01 
1.743759e+00 5.889818e+00 4.159347e-01 
1.223292e+00 1.917132e+00 4.050530e-01 
2.093384e+00 1.885165e+00 4.076662e-01 
2.308157e+00 1.565265e+00 4.135849e-01 
2.859241e+00 2.784602e+00 3.967077e-01 
1.651895e+00 5.052538e-01 4.294328e-01 
1.719737e+00 5.349093e+00 4.006041e-01 
1.191053e-01 5.472492e+00 3.967553e-01 
1.820821e+00 1.350646e+00 4.211420e-01 
1.621158e+00 2.727409e+00 3.828771e-01 
1.106310e+00 6.058595e+00 4.162839e-01 
2.243580e+00 5.311029e+00 4.007660e-01 
1.131522e+00 6.889417e-01 4.252230e-01 
2.030818e+00 6.903731e-01 4.273804e-01 
2.255417e+00 3.711156e+00 3.771043e-01 
1.512924e+00 3.917855e+00 3.688409e-01 
1.012193e+00 3.225776e-01 4.223548e-01 
2.258243e-01 5.628115e+00 3.983622e-01 
# Exact (~1e-8) pressure tensor
3.333333e-01 0.000000e+00 0.000000e+00 
0.000000e+00 3.333333e-01 0.000000e+00 
0.000000e+00 0.000000e+00 3.333333e-01 
