# Spherical harmonics problem 2021/03/23 19:57:10
order 3
N 8
# theta phi I
1.326678e+00 1.241799e+00 3.910378e-01 
1.581070e+00 5.176774e+00 4.218414e-01 
1.738119e+00 2.567002e+00 4.438940e-01 
1.314132e+00 1.224646e+00 3.913984e-01 
4.809983e-01 2.351472e+00 3.936554e-01 
2.450884e+00 1.107420e+00 4.362607e-01 
1.346654e+00 1.105419e+00 3.914043e-01 
1.118580e+00 5.524246e+00 4.214739e-01 
# Exact (~1e-8) pressure tensor
3.368201e-01 4.429220e-03 -3.888047e-03 
4.429220e-03 3.317021e-01 -6.747770e-03 
-3.888047e-03 -6.747770e-03 3.314778e-01 
