# Spherical harmonics problem 2021/03/23 19:56:56
order 1
N 32
# theta phi I
1.025631e+00 4.010355e+00 1.018315e-01 
1.554739e+00 4.068130e+00 1.106838e-01 
9.865143e-01 1.651049e+00 4.826668e-01 
1.082003e+00 3.636469e+00 9.578416e-02 
8.245610e-01 5.347752e+00 3.310901e-01 
1.799931e+00 1.057087e+00 6.869735e-01 
1.682064e+00 9.014331e-01 6.962176e-01 
2.780168e+00 1.964626e+00 5.134782e-01 
1.793910e+00 3.168965e+00 1.848401e-01 
6.612434e-01 1.832006e+00 3.956328e-01 
1.018804e+00 6.224763e+00 5.414624e-01 
1.178990e+00 4.436731e+00 1.425413e-01 
7.675660e-01 3.039957e+00 1.816998e-01 
3.773104e-01 3.583125e+00 2.050913e-01 
1.079679e+00 1.868670e+00 4.469620e-01 
2.755477e+00 3.910773e+00 3.739891e-01 
2.104210e+00 2.895666e+00 2.874756e-01 
2.171113e+00 2.078162e-01 6.729520e-01 
1.061822e+00 8.767040e-01 6.070819e-01 
4.568062e-01 1.762957e+00 3.739680e-01 
1.327383e+00 4.657348e-01 6.600864e-01 
2.336267e+00 6.099355e+00 6.068225e-01 
1.468551e+00 2.144536e+00 4.137728e-01 
8.333608e-01 1.147648e-01 5.250215e-01 
2.379050e+00 4.138687e+00 2.726460e-01 
2.137201e+00 2.484436e+00 3.850256e-01 
1.001286e+00 4.770903e+00 2.076250e-01 
8.830712e-01 4.029273e+00 1.159053e-01 
2.484481e+00 4.815399e+00 3.772991e-01 
1.614584e+00 4.157910e+00 1.247789e-01 
1.640601e+00 3.148367e+00 1.689737e-01 
1.340973e+00 4.173645e-01 6.592659e-01 
# Exact (~1e-8) pressure tensor
3.333333e-01 0.000000e+00 0.000000e+00 
0.000000e+00 3.333333e-01 0.000000e+00 
0.000000e+00 0.000000e+00 3.333333e-01 
