# Spherical harmonics problem 2021/03/23 19:57:19
order 3
N 64
# theta phi I
1.881453e+00 5.030505e+00 3.222756e-01 
1.737696e+00 1.086040e+00 5.408683e-01 
4.240426e-01 9.797737e-01 3.775803e-01 
2.135212e+00 1.776320e+00 4.968401e-01 
2.066653e+00 5.788462e+00 2.223960e-01 
2.110498e+00 1.372634e+00 5.077084e-01 
3.763344e-01 1.017034e+00 3.811058e-01 
1.358264e+00 3.867506e+00 4.175349e-01 
7.220851e-01 1.812546e+00 4.260120e-01 
2.637906e+00 4.355652e+00 3.061692e-01 
2.515055e+00 5.092701e+00 2.252543e-01 
2.234290e+00 1.376524e+00 5.046571e-01 
1.233357e+00 2.954228e+00 4.135596e-01 
2.762262e+00 5.825736e+00 2.401527e-01 
1.570041e+00 2.414273e+00 3.834261e-01 
1.372640e+00 6.059832e+00 3.236479e-01 
8.419905e-01 4.930973e+00 4.109420e-01 
1.384471e+00 3.745641e+00 3.962184e-01 
1.128938e-01 2.286672e+00 4.488144e-01 
1.885810e+00 7.870920e-03 3.598605e-01 
1.883132e+00 5.271961e+00 2.798997e-01 
1.215255e+00 3.296766e+00 4.231317e-01 
2.890820e+00 2.289212e+00 4.487536e-01 
2.527904e+00 2.972785e+00 4.662947e-01 
1.560120e+00 5.364112e+00 3.072437e-01 
1.213048e+00 3.460059e+00 4.294375e-01 
1.730759e+00 4.281481e+00 3.851976e-01 
1.968941e+00 4.950215e+00 3.160520e-01 
7.690374e-01 4.674444e-01 3.672266e-01 
1.645453e+00 2.429910e-01 4.709407e-01 
1.070154e+00 1.910686e+00 3.960085e-01 
2.613707e+00 2.108431e+00 5.097330e-01 
1.123616e+00 5.184300e+00 3.557427e-01 
1.286970e+00 1.351419e+00 4.567933e-01 
2.283456e+00 3.408989e+00 3.759098e-01 
7.719813e-01 5.572697e+00 2.770502e-01 
1.767553e+00 5.429388e-01 5.333439e-01 
5.828268e-01 4.886184e+00 4.126324e-01 
1.642576e+00 7.737574e-02 4.163058e-01 
8.249734e-01 5.997361e+00 2.666489e-01 
1.617503e+00 2.587023e+00 3.816398e-01 
9.349963e-01 2.829107e+00 4.821842e-01 
2.292816e+00 2.273082e+00 5.097712e-01 
1.102827e+00 2.631189e+00 4.307255e-01 
1.334583e+00 8.802115e-01 5.361020e-01 
2.487140e+00 8.741310e-01 4.244327e-01 
1.579954e+00 7.446710e-01 5.652787e-01 
1.166163e+00 5.372932e+00 3.124865e-01 
9.490928e-01 3.036351e+00 4.921097e-01 
1.260582e+00 1.020307e+00 5.089158e-01 
1.016844e+00 2.119690e+00 4.084854e-01 
1.824308e+00 1.179560e+00 5.274563e-01 
2.922678e+00 4.987991e+00 2.948760e-01 
1.579525e+00 3.650707e+00 3.392806e-01 
1.586364e+00 4.060284e+00 3.862252e-01 
4.431855e-01 5.954458e+00 2.979613e-01 
2.320771e+00 1.544747e+00 5.063301e-01 
1.179105e+00 4.117617e+00 4.894663e-01 
1.928484e+00 3.062290e+00 3.649588e-01 
2.369717e-01 4.517813e+00 4.479690e-01 
3.009726e+00 5.085222e+00 3.172319e-01 
1.591341e+00 1.178127e+00 5.212254e-01 
2.513527e+00 5.702964e+00 1.957018e-01 
2.414446e+00 1.479825e+00 4.988474e-01 
# Exact (~1e-8) pressure tensor
3.315485e-01 -6.433162e-03 -2.304947e-02 
-6.433162e-03 3.234844e-01 2.218429e-02 
-2.304947e-02 2.218429e-02 3.449671e-01 
