# Spherical harmonics problem 2021/03/23 19:56:56
order 1
N 16
# theta phi I
7.681437e-01 5.784716e+00 5.176989e-01 
2.830084e+00 2.767313e+00 3.439770e-01 
1.078988e+00 1.685340e+00 2.703135e-01 
1.519755e+00 4.925069e+00 5.581330e-01 
1.584150e+00 3.430298e+00 3.345852e-01 
1.511967e+00 1.326480e+00 2.907912e-01 
1.530447e+00 1.819399e+00 2.378410e-01 
1.935961e+00 3.713334e+00 3.810092e-01 
2.414904e+00 5.673482e+00 5.042910e-01 
1.710225e+00 1.639277e+00 2.528313e-01 
9.487660e-01 3.630769e+00 3.795401e-01 
1.786405e+00 6.185681e+00 5.156318e-01 
1.847391e+00 2.219768e+00 2.268232e-01 
2.104386e+00 4.183460e+00 4.508236e-01 
1.802146e+00 8.847328e-01 3.588830e-01 
6.582875e-02 4.329881e+00 4.136381e-01 
# Exact (~1e-8) pressure tensor
3.333333e-01 0.000000e+00 0.000000e+00 
0.000000e+00 3.333333e-01 0.000000e+00 
0.000000e+00 0.000000e+00 3.333333e-01 
