# Spherical harmonics problem 2021/03/23 19:57:05
order 2
N 64
# theta phi I
2.017875e+00 5.360774e-01 4.023049e-01 
1.240808e+00 1.032411e+00 3.976682e-01 
1.340437e+00 3.824801e+00 3.970251e-01 
1.088701e+00 4.121942e+00 4.018648e-01 
2.716025e+00 6.143880e+00 4.083216e-01 
1.996213e+00 4.851877e+00 3.900461e-01 
1.399464e+00 3.142727e+00 3.945213e-01 
2.208990e+00 2.427141e+00 4.047114e-01 
1.402967e+00 5.099040e+00 3.890666e-01 
2.547058e+00 1.850561e+00 4.148943e-01 
1.519043e+00 2.343415e+00 3.986650e-01 
2.135758e+00 5.001297e-01 4.043278e-01 
8.899865e-01 3.114704e+00 4.030711e-01 
1.929549e+00 1.340331e+00 4.099456e-01 
1.865201e+00 5.976391e+00 3.868338e-01 
9.153796e-01 6.259351e+00 3.885321e-01 
1.393478e+00 1.961618e+00 4.015365e-01 
1.423944e+00 4.197397e+00 3.959643e-01 
1.639293e+00 2.543405e+00 3.968488e-01 
2.434298e+00 5.376305e+00 3.971436e-01 
1.393814e+00 4.972043e+00 3.907103e-01 
1.507264e+00 1.297260e+00 4.030158e-01 
1.037675e+00 2.134943e+00 4.011823e-01 
1.908434e+00 4.376723e+00 3.915105e-01 
1.348494e+00 6.053647e-01 3.922496e-01 
1.862154e+00 1.259205e+00 4.084570e-01 
2.408445e+00 1.578695e+00 4.156595e-01 
1.711960e+00 3.098373e+00 3.925080e-01 
1.628549e+00 2.282794e+00 3.998059e-01 
7.594858e-01 5.079061e+00 4.000728e-01 
1.842468e+00 5.917873e+00 3.860476e-01 
1.275191e+00 4.044148e+00 3.985249e-01 
2.269498e+00 3.864447e+00 3.945246e-01 
1.998433e+00 5.642388e-01 4.023542e-01 
1.654548e+00 3.511340e+00 3.922141e-01 
1.227537e+00 6.188733e+00 3.840625e-01 
1.821342e+00 6.187449e+00 3.879516e-01 
1.174289e+00 6.267883e+00 3.848983e-01 
3.025386e+00 6.543760e-01 4.128894e-01 
5.251477e-01 9.081989e-01 4.003341e-01 
1.216621e+00 6.872436e-01 3.928571e-01 
7.244712e-01 5.113903e+00 4.003245e-01 
6.379731e-01 2.990043e+00 4.067482e-01 
7.950628e-01 4.384786e+00 4.056963e-01 
1.498410e+00 9.846234e-01 3.997168e-01 
2.016238e+00 3.326884e+00 3.928699e-01 
1.368894e+00 3.960493e+00 3.968269e-01 
2.589101e-01 3.174673e+00 4.096679e-01 
1.799023e+00 2.387773e+00 3.998231e-01 
2.368826e+00 4.730882e+00 3.951822e-01 
2.280163e+00 8.594404e-01 4.119575e-01 
2.249045e+00 1.788129e+00 4.129541e-01 
1.161043e+00 5.208599e+00 3.910180e-01 
1.258950e+00 4.469166e+00 3.975826e-01 
2.690932e+00 4.979024e+00 4.022372e-01 
2.183172e+00 1.039277e+00 4.122327e-01 
8.139324e-01 7.938973e-02 3.908107e-01 
9.535425e-01 1.547478e+00 4.010060e-01 
1.921866e+00 6.121593e+00 3.892966e-01 
1.211644e+00 3.224629e+00 3.974478e-01 
9.439435e-01 3.771795e+00 4.041912e-01 
1.417451e+00 2.772225e+00 3.953887e-01 
1.183861e+00 4.253914e+00 3.998892e-01 
1.170458e+00 5.027070e+00 3.932634e-01 
# Exact (~1e-8) pressure tensor
3.369163e-01 -1.397631e-03 -1.839190e-03 
-1.397631e-03 3.300395e-01 7.490474e-04 
-1.839190e-03 7.490474e-04 3.330443e-01 
