# 1D hohlraum problem 2021/03/19 10:14:25
x 1.000000e-01
t 2.000000e-01
N 64
# theta phi I
5.877677e-01 4.272972e+00 1.000000e+00 
9.904435e-01 4.873737e+00 1.000000e+00 
1.183040e+00 1.048996e+00 0.000000e+00 
1.206917e+00 3.763587e+00 0.000000e+00 
1.770542e+00 4.717331e-01 0.000000e+00 
3.229428e-01 1.279355e+00 1.000000e+00 
1.271285e+00 3.815752e+00 0.000000e+00 
2.376511e+00 1.087044e+00 0.000000e+00 
1.881799e+00 4.036320e+00 0.000000e+00 
4.211466e-01 3.630498e+00 1.000000e+00 
2.005220e+00 4.859638e+00 0.000000e+00 
2.229031e+00 2.071910e+00 0.000000e+00 
1.696692e+00 1.315405e+00 0.000000e+00 
1.548535e+00 5.519347e+00 0.000000e+00 
1.613212e+00 1.524418e+00 0.000000e+00 
5.823875e-01 6.080080e+00 1.000000e+00 
3.104579e-01 1.138798e+00 1.000000e+00 
9.148590e-01 2.555665e-01 1.000000e+00 
7.977601e-01 6.594738e-01 1.000000e+00 
2.670345e+00 3.087169e+00 0.000000e+00 
1.253743e+00 2.741030e+00 0.000000e+00 
1.255662e+00 3.212400e+00 0.000000e+00 
1.300083e+00 5.557471e+00 0.000000e+00 
9.020672e-01 1.786212e+00 1.000000e+00 
7.847835e-01 1.503549e+00 1.000000e+00 
2.477990e+00 2.290462e+00 0.000000e+00 
1.784329e+00 4.831656e+00 0.000000e+00 
2.428971e+00 6.561393e-01 0.000000e+00 
1.552297e+00 3.658368e+00 0.000000e+00 
2.806247e+00 8.546323e-01 0.000000e+00 
9.978897e-01 2.831254e+00 1.000000e+00 
1.901987e+00 1.607488e+00 0.000000e+00 
7.838871e-01 3.277206e+00 1.000000e+00 
5.050375e-01 2.210976e+00 1.000000e+00 
1.571259e+00 7.193371e-01 0.000000e+00 
1.651657e+00 4.361192e+00 0.000000e+00 
2.208830e+00 4.209859e+00 0.000000e+00 
6.527524e-01 5.420879e+00 1.000000e+00 
1.474522e+00 1.864676e+00 0.000000e+00 
1.194189e+00 3.007628e+00 0.000000e+00 
1.406949e+00 5.483377e+00 0.000000e+00 
2.253789e+00 5.177881e-01 0.000000e+00 
1.388042e+00 6.183673e+00 0.000000e+00 
1.303822e+00 4.671272e+00 0.000000e+00 
2.327575e+00 1.573753e+00 0.000000e+00 
1.551648e+00 5.056100e+00 0.000000e+00 
2.050983e+00 5.446670e+00 0.000000e+00 
9.576516e-01 8.488369e-01 1.000000e+00 
1.992730e+00 1.183530e+00 0.000000e+00 
2.872166e+00 5.706258e+00 0.000000e+00 
1.209043e+00 3.362264e+00 0.000000e+00 
2.575132e+00 6.245261e+00 0.000000e+00 
1.760379e+00 2.753422e+00 0.000000e+00 
1.518079e+00 2.430578e+00 0.000000e+00 
2.311643e+00 5.590370e+00 0.000000e+00 
2.285692e+00 2.017780e+00 0.000000e+00 
7.926259e-01 4.642220e+00 1.000000e+00 
1.458786e+00 4.305703e-01 0.000000e+00 
2.779268e+00 4.264523e+00 0.000000e+00 
1.428183e+00 4.262308e+00 0.000000e+00 
1.554804e+00 5.919553e+00 0.000000e+00 
2.494010e+00 6.010562e+00 0.000000e+00 
1.339662e+00 2.820897e+00 0.000000e+00 
2.395169e+00 3.435539e+00 0.000000e+00 
# Exact (~1e-8) pressure tensor
5.833333e-01 0.000000e+00 0.000000e+00 
0.000000e+00 2.083333e-01 0.000000e+00 
0.000000e+00 0.000000e+00 2.083333e-01 
