# 1D hohlraum problem 2021/03/19 10:15:30
x 4.000000e-01
t 6.000000e-01
N 512
# theta phi I
1.872930e+00 3.636223e+00 0.000000e+00 
7.669188e-01 5.258104e+00 1.000000e+00 
2.913285e-01 5.858200e+00 1.000000e+00 
6.108048e-02 2.810907e+00 1.000000e+00 
8.840918e-01 6.506951e-01 0.000000e+00 
2.135717e+00 6.009953e+00 0.000000e+00 
1.059519e+00 2.568909e+00 0.000000e+00 
2.348108e+00 6.157344e+00 0.000000e+00 
1.172035e+00 4.801438e+00 0.000000e+00 
2.328352e+00 1.494484e+00 0.000000e+00 
1.993949e+00 1.069151e+00 0.000000e+00 
2.038241e+00 3.643051e+00 0.000000e+00 
9.176489e-01 7.498425e-01 0.000000e+00 
1.584390e+00 5.275060e+00 0.000000e+00 
1.746729e+00 5.499449e+00 0.000000e+00 
5.347437e-01 3.839280e+00 1.000000e+00 
1.825506e+00 1.009981e+00 0.000000e+00 
3.210685e-01 3.795604e+00 1.000000e+00 
8.338093e-01 5.835312e+00 1.000000e+00 
1.493177e-01 4.162101e-01 1.000000e+00 
5.599208e-01 1.518326e+00 1.000000e+00 
2.047885e+00 1.601263e-02 0.000000e+00 
2.358165e+00 3.858346e+00 0.000000e+00 
1.582040e+00 3.668529e+00 0.000000e+00 
1.697203e+00 2.534338e-01 0.000000e+00 
1.467030e+00 3.602557e+00 0.000000e+00 
2.172648e+00 4.094478e+00 0.000000e+00 
2.420431e+00 1.776419e+00 0.000000e+00 
9.911402e-01 3.827894e-01 0.000000e+00 
3.010335e-01 6.940743e-01 1.000000e+00 
8.573579e-01 4.279792e+00 0.000000e+00 
1.762441e+00 5.089914e+00 0.000000e+00 
1.171874e+00 6.201241e+00 0.000000e+00 
2.270068e+00 1.633546e+00 0.000000e+00 
8.784568e-01 4.561803e+00 0.000000e+00 
1.570997e+00 5.575114e+00 0.000000e+00 
2.633048e+00 4.004857e+00 0.000000e+00 
1.144673e+00 2.473238e+00 0.000000e+00 
1.533950e+00 4.416088e+00 0.000000e+00 
7.969017e-01 2.652486e-01 1.000000e+00 
8.871538e-01 2.642894e+00 0.000000e+00 
1.777226e+00 5.283564e+00 0.000000e+00 
1.628933e+00 1.753498e+00 0.000000e+00 
1.925452e+00 1.020148e+00 0.000000e+00 
2.129365e+00 3.953169e+00 0.000000e+00 
2.166725e+00 2.196580e+00 0.000000e+00 
8.521918e-01 4.831261e+00 0.000000e+00 
1.881411e+00 1.820913e+00 0.000000e+00 
1.973994e-01 2.766743e+00 1.000000e+00 
6.837993e-01 3.116244e+00 1.000000e+00 
1.450834e+00 1.201196e+00 0.000000e+00 
1.357229e+00 1.669757e+00 0.000000e+00 
2.361953e+00 1.999504e+00 0.000000e+00 
9.258968e-01 4.485996e+00 0.000000e+00 
