# 1D hohlraum problem 2021/03/19 10:14:34
x 1.000000e-01
t 4.000000e-01
N 32
# theta phi I
1.728328e+00 4.118090e+00 0.000000e+00 
1.448001e+00 3.931448e+00 0.000000e+00 
1.391377e+00 4.990538e+00 0.000000e+00 
2.052557e+00 3.157156e+00 0.000000e+00 
2.920258e+00 3.803683e+00 0.000000e+00 
2.095972e+00 3.961035e+00 0.000000e+00 
2.495601e+00 5.174253e+00 0.000000e+00 
3.060156e+00 4.636837e+00 0.000000e+00 
9.088465e-01 3.336140e+00 1.000000e+00 
6.472550e-01 2.921015e+00 1.000000e+00 
1.023223e+00 1.743809e+00 1.000000e+00 
2.115739e+00 5.071581e-01 0.000000e+00 
1.663890e+00 4.752513e+00 0.000000e+00 
1.731533e+00 3.175230e+00 0.000000e+00 
1.503858e+00 9.317473e-01 0.000000e+00 
1.007388e+00 1.190177e+00 1.000000e+00 
1.684301e+00 1.693437e+00 0.000000e+00 
2.911907e+00 2.270402e+00 0.000000e+00 
1.772126e+00 4.007324e-01 0.000000e+00 
1.082495e+00 5.972589e+00 1.000000e+00 
1.322712e+00 2.319837e+00 0.000000e+00 
2.107622e+00 4.161743e-01 0.000000e+00 
1.386144e+00 6.247764e+00 0.000000e+00 
4.587363e-01 4.070919e+00 1.000000e+00 
4.888214e-01 1.345277e+00 1.000000e+00 
1.357042e+00 4.640156e+00 0.000000e+00 
2.890284e+00 4.126523e+00 0.000000e+00 
9.034554e-01 5.969930e+00 1.000000e+00 
8.581014e-01 4.964039e+00 1.000000e+00 
1.332142e+00 3.113686e-01 0.000000e+00 
2.080036e+00 6.119784e+00 0.000000e+00 
1.966173e+00 2.254992e+00 0.000000e+00 
# Exact (~1e-8) pressure tensor
4.375000e-01 0.000000e+00 0.000000e+00 
0.000000e+00 2.812500e-01 0.000000e+00 
0.000000e+00 0.000000e+00 2.812500e-01 
