# 1D hohlraum problem 2021/03/19 10:14:58
x 2.000000e-01
t 5.000000e-01
N 64
# theta phi I
8.961416e-01 4.856577e+00 1.000000e+00 
1.877918e+00 6.261109e+00 0.000000e+00 
1.693051e+00 2.470691e+00 0.000000e+00 
2.177049e+00 1.966912e+00 0.000000e+00 
1.910894e+00 3.562267e+00 0.000000e+00 
2.325085e+00 2.059340e+00 0.000000e+00 
1.301768e+00 2.421108e+00 0.000000e+00 
1.141199e+00 8.144616e-01 1.000000e+00 
3.055998e+00 5.980167e-01 0.000000e+00 
1.728472e+00 1.963263e-02 0.000000e+00 
9.497203e-01 3.225126e-01 1.000000e+00 
2.273432e+00 4.932231e+00 0.000000e+00 
2.286280e+00 7.628416e-01 0.000000e+00 
9.916035e-01 5.357215e+00 1.000000e+00 
1.772966e+00 1.041590e+00 0.000000e+00 
1.305044e+00 4.785636e+00 0.000000e+00 
1.607338e+00 5.700669e+00 0.000000e+00 
6.788866e-01 1.620937e+00 1.000000e+00 
1.378858e+00 4.107077e+00 0.000000e+00 
2.175727e+00 4.961763e+00 0.000000e+00 
2.221948e+00 2.878005e+00 0.000000e+00 
6.909052e-01 4.342625e+00 1.000000e+00 
1.711033e+00 5.842658e-01 0.000000e+00 
2.015321e+00 5.736340e+00 0.000000e+00 
1.509238e+00 5.881945e+00 0.000000e+00 
2.342926e+00 1.589564e+00 0.000000e+00 
2.938948e+00 2.798419e+00 0.000000e+00 
9.115038e-01 1.416034e+00 1.000000e+00 
1.213775e+00 3.444313e+00 0.000000e+00 
1.149551e+00 2.463421e+00 1.000000e+00 
1.478188e+00 3.236146e+00 0.000000e+00 
2.149335e+00 5.156295e+00 0.000000e+00 
1.462103e+00 4.603019e+00 0.000000e+00 
2.943108e+00 5.507844e+00 0.000000e+00 
1.323624e+00 5.494532e+00 0.000000e+00 
7.793565e-01 2.203287e+00 1.000000e+00 
9.191481e-01 4.811789e+00 1.000000e+00 
2.684564e+00 4.125177e+00 0.000000e+00 
9.668072e-01 4.653413e+00 1.000000e+00 
1.516568e+00 7.871812e-02 0.000000e+00 
1.098046e+00 6.057419e+00 1.000000e+00 
9.116907e-01 5.244575e+00 1.000000e+00 
1.781809e+00 3.210284e+00 0.000000e+00 
6.885284e-01 4.323356e+00 1.000000e+00 
1.081011e+00 6.100994e+00 1.000000e+00 
8.140387e-01 1.679409e+00 1.000000e+00 
2.212628e+00 2.681677e+00 0.000000e+00 
9.458210e-01 1.291008e+00 1.000000e+00 
2.608274e+00 4.536815e+00 0.000000e+00 
8.910487e-01 3.925739e+00 1.000000e+00 
1.077294e+00 6.221476e+00 1.000000e+00 
1.428651e+00 3.703264e+00 0.000000e+00 
2.464315e+00 4.004033e+00 0.000000e+00 
2.456480e+00 2.148578e+00 0.000000e+00 
2.319332e+00 2.372461e+00 0.000000e+00 
1.625749e+00 2.625672e+00 0.000000e+00 
6.537843e-01 1.370329e+00 1.000000e+00 
1.604446e+00 5.651924e+00 0.000000e+00 
1.394213e+00 1.555444e+00 0.000000e+00 
2.131247e+00 3.737657e+00 0.000000e+00 
1.624141e+00 8.160546e-01 0.000000e+00 
2.262493e+00 5.455420e+00 0.000000e+00 
1.499353e+00 3.671031e+00 0.000000e+00 
1.162785e+00 1.396406e+00 0.000000e+00 
# Exact (~1e-8) pressure tensor
5.200000e-01 0.000000e+00 0.000000e+00 
0.000000e+00 2.400000e-01 0.000000e+00 
0.000000e+00 0.000000e+00 2.400000e-01 
