# 1D hohlraum problem 2021/03/19 10:15:35
x 5.000000e-01
t 6.000000e-01
N 256
# theta phi I
1.927104e+00 2.978108e+00 0.000000e+00 
2.689613e+00 3.982112e+00 0.000000e+00 
1.855791e+00 3.316580e-01 0.000000e+00 
7.774542e-01 2.229453e+00 0.000000e+00 
9.766803e-01 3.931969e+00 0.000000e+00 
1.049996e+00 2.980947e+00 0.000000e+00 
1.167708e+00 4.536779e+00 0.000000e+00 
1.730974e+00 5.446148e+00 0.000000e+00 
1.856985e+00 3.093542e+00 0.000000e+00 
1.622155e+00 3.535314e+00 0.000000e+00 
1.208670e+00 1.934363e+00 0.000000e+00 
1.807505e+00 4.315535e+00 0.000000e+00 
2.485379e+00 4.942176e+00 0.000000e+00 
1.610486e+00 4.655869e+00 0.000000e+00 
1.743699e+00 5.657129e+00 0.000000e+00 
1.911482e+00 5.465795e+00 0.000000e+00 
1.930103e+00 3.875165e+00 0.000000e+00 
2.062566e+00 6.073635e+00 0.000000e+00 
1.703593e+00 5.353599e+00 0.000000e+00 
1.672847e+00 8.599870e-01 0.000000e+00 
3.203301e-01 1.102978e+00 1.000000e+00 
2.524409e+00 1.439357e-01 0.000000e+00 
3.053105e-01 4.139347e+00 1.000000e+00 
1.194566e+00 1.113755e+00 0.000000e+00 
3.790802e-01 3.680050e+00 1.000000e+00 
1.481957e+00 3.987042e+00 0.000000e+00 
2.259483e+00 5.589490e-01 0.000000e+00 
1.856545e+00 8.344129e-01 0.000000e+00 
1.405290e+00 4.006791e+00 0.000000e+00 
6.060403e-01 1.182343e+00 0.000000e+00 
1.033740e+00 5.724785e-01 0.000000e+00 
6.803829e-01 5.147030e+00 0.000000e+00 
1.275654e+00 5.150403e+00 0.000000e+00 
2.006873e+00 1.643782e+00 0.000000e+00 
2.152686e+00 8.845843e-01 0.000000e+00 
8.803322e-01 7.642096e-01 0.000000e+00 
2.315447e+00 5.788771e+00 0.000000e+00 
2.372292e+00 4.743931e+00 0.000000e+00 
1.250549e+00 5.403734e+00 0.000000e+00 
1.175279e+00 3.540250e+00 0.000000e+00 
1.553215e+00 1.213548e+00 0.000000e+00 
2.540612e+00 4.931789e+00 0.000000e+00 
1.638572e+00 5.002378e+00 0.000000e+00 
2.005514e+00 4.592673e+00 0.000000e+00 
2.237048e+00 2.063926e+00 0.000000e+00 
5.438761e-01 5.977876e+00 1.000000e+00 
2.588351e+00 6.763611e-01 0.000000e+00 
1.307325e+00 5.198042e+00 0.000000e+00 
1.604152e+00 2.709088e+00 0.000000e+00 
1.805886e+00 4.430152e-01 0.000000e+00 
1.022158e+00 2.102174e+00 0.000000e+00 
1.471419e+00 5.231455e+00 0.000000e+00 
7.732196e-01 1.472406e+00 0.000000e+00 
2.376897e+00 4.233166e-01 0.000000e+00 
8.267307e-01 5.322076e+00 0.000000e+00 
1.292340e+00 4.799317e+00 0.000000e+00 
9.452588e-01 3.730345e+00 0.000000e+00 
1.282350e+00 2.086976e+00 0.000000e+00 
1.609629e+00 4.446906e+00 0.000000e+00 
1.950287e+00 5.302303e+00 0.000000e+00 
2.773812e+00 1.461046e+00 0.000000e+00 
1.747998e+00 5.617642e+00 0.000000e+00 
5.770124e-01 3.302357e+00 1.000000e+00 
7.763107e-01 1.218992e+00 0.000000e+00 
2.638597e+00 4.200524e+00 0.000000e+00 
2.395046e+00 4.322378e+00 0.000000e+00 
1.307862e+00 5.642111e+00 0.000000e+00 
2.523560e+00 1.244390e+00 0.000000e+00 
1.001582e+00 5.270522e+00 0.000000e+00 
2.976452e+00 4.951841e-01 0.000000e+00 
6.766550e-01 3.205458e+00 0.000000e+00 
9.707094e-01 8.156221e-01 0.000000e+00 
9.408043e-01 5.681267e+00 0.000000e+00 
1.637093e+00 3.440891e+00 0.000000e+00 
1.526810e+00 5.429363e+00 0.000000e+00 
1.790168e+00 5.997472e+00 0.000000e+00 
2.877080e+00 5.890869e+00 0.000000e+00 
3.306420e-01 1.382374e+00 1.000000e+00 
7.525764e-01 5.965076e+00 0.000000e+00 
1.589998e+00 9.073015e-01 0.000000e+00 
1.388111e+00 2.201683e+00 0.000000e+00 
2.063315e+00 5.785207e+00 0.000000e+00 
1.220721e+00 4.863065e+00 0.000000e+00 
1.718953e+00 4.238239e+00 0.000000e+00 
1.570590e+00 1.116631e+00 0.000000e+00 
2.719684e-01 3.121369e+00 1.000000e+00 
1.234747e+00 8.679749e-01 0.000000e+00 
1.892325e+00 6.264714e+00 0.000000e+00 
7.997973e-01 2.637970e+00 0.000000e+00 
1.955661e+00 3.369498e+00 0.000000e+00 
9.576957e-01 1.759985e+00 0.000000e+00 
1.358067e+00 5.585329e+00 0.000000e+00 
9.226777e-01 2.937378e+00 0.000000e+00 
1.672913e+00 4.710802e+00 0.000000e+00 
2.532360e+00 4.997432e+00 0.000000e+00 
8.968440e-01 5.419443e+00 0.000000e+00 
7.281992e-01 4.101550e+00 0.000000e+00 
1.306663e+00 2.153357e+00 0.000000e+00 
1.175141e+00 2.514975e+00 0.000000e+00 
2.649814e+00 5.055617e+00 0.000000e+00 
2.037188e+00 6.005549e+00 0.000000e+00 
2.202662e+00 3.679745e+00 0.000000e+00 
1.673167e+00 7.874235e-01 0.000000e+00 
1.650235e+00 4.899207e+00 0.000000e+00 
5.226603e-01 5.941792e+00 1.000000e+00 
1.719121e+00 1.360874e-01 0.000000e+00 
1.487589e+00 4.501913e+00 0.000000e+00 
1.630816e+00 2.947808e+00 0.000000e+00 
1.943904e+00 5.236755e+00 0.000000e+00 
1.545029e+00 4.079703e+00 0.000000e+00 
1.026451e+00 8.884925e-01 0.000000e+00 
1.186176e+00 2.696015e+00 0.000000e+00 
1.962103e+00 5.099690e+00 0.000000e+00 
1.489314e+00 5.608356e+00 0.000000e+00 
7.862205e-01 2.705341e+00 0.000000e+00 
1.580570e+00 1.229243e+00 0.000000e+00 
2.336447e+00 6.488745e-01 0.000000e+00 
1.150070e+00 4.174559e+00 0.000000e+00 
2.172639e+00 5.191084e+00 0.000000e+00 
2.032847e+00 6.218384e+00 0.000000e+00 
1.319145e+00 2.487928e+00 0.000000e+00 
1.235694e+00 4.230572e-02 0.000000e+00 
1.607653e+00 7.172932e-01 0.000000e+00 
1.506480e+00 1.047169e+00 0.000000e+00 
9.068359e-01 4.678353e+00 0.000000e+00 
9.181598e-01 3.099272e+00 0.000000e+00 
2.465312e+00 2.739814e+00 0.000000e+00 
1.860281e+00 1.152776e+00 0.000000e+00 
1.599952e+00 2.914251e+00 0.000000e+00 
2.738532e+00 2.434648e+00 0.000000e+00 
1.261349e+00 2.012688e+00 0.000000e+00 
6.635814e-01 5.488501e+00 0.000000e+00 
3.076627e-01 1.631164e+00 1.000000e+00 
6.228269e-01 6.203187e+00 0.000000e+00 
1.219820e+00 3.587012e+00 0.000000e+00 
1.126768e+00 4.390955e+00 0.000000e+00 
1.289159e+00 6.170153e+00 0.000000e+00 
1.253837e+00 4.593173e+00 0.000000e+00 
2.426772e+00 5.382981e+00 0.000000e+00 
5.900076e-01 3.573054e+00 0.000000e+00 
2.703821e-01 3.553302e-01 1.000000e+00 
1.847341e+00 1.424755e+00 0.000000e+00 
1.189684e+00 6.458320e-01 0.000000e+00 
1.458581e+00 5.297649e+00 0.000000e+00 
4.750045e-01 3.357247e+00 1.000000e+00 
2.139923e+00 5.633035e+00 0.000000e+00 
2.068020e+00 8.105149e-01 0.000000e+00 
2.399759e+00 1.851245e+00 0.000000e+00 
1.131369e+00 1.109278e+00 0.000000e+00 
1.208644e+00 4.873924e+00 0.000000e+00 
1.980593e+00 1.172224e+00 0.000000e+00 
7.259742e-01 5.724175e+00 0.000000e+00 
1.168183e+00 4.355560e+00 0.000000e+00 
1.241542e+00 3.607005e+00 0.000000e+00 
1.637474e+00 5.752963e+00 0.000000e+00 
1.931605e+00 5.520558e+00 0.000000e+00 
2.561839e+00 4.659049e+00 0.000000e+00 
1.214520e+00 5.248932e+00 0.000000e+00 
1.588054e+00 3.747023e+00 0.000000e+00 
2.248244e+00 2.275736e+00 0.000000e+00 
9.866642e-01 3.181770e+00 0.000000e+00 
6.435138e-01 2.420890e+00 0.000000e+00 
2.003005e+00 4.878364e+00 0.000000e+00 
7.308363e-01 1.484043e+00 0.000000e+00 
2.193807e+00 5.652092e+00 0.000000e+00 
5.535719e-02 2.740657e+00 1.000000e+00 
2.126975e+00 3.461330e+00 0.000000e+00 
7.633046e-01 6.021904e+00 0.000000e+00 
1.362845e+00 8.818233e-01 0.000000e+00 
1.628659e+00 1.138314e+00 0.000000e+00 
1.415781e+00 5.857247e+00 0.000000e+00 
6.172466e-01 2.944801e+00 0.000000e+00 
2.656983e+00 5.748922e-01 0.000000e+00 
2.318590e+00 2.618788e+00 0.000000e+00 
1.637426e+00 4.377880e+00 0.000000e+00 
1.766382e+00 3.814022e-01 0.000000e+00 
