# 1D hohlraum problem 2021/03/19 10:15:14
x 3.000000e-01
t 5.000000e-01
N 128
# theta phi I
9.556664e-01 2.889806e+00 0.000000e+00 
1.800398e+00 2.788361e+00 0.000000e+00 
1.220536e+00 8.859124e-01 0.000000e+00 
2.126327e+00 6.082919e+00 0.000000e+00 
8.911907e-01 3.481925e+00 1.000000e+00 
2.104334e+00 5.274523e+00 0.000000e+00 
1.946991e+00 2.601075e-01 0.000000e+00 
1.779224e+00 1.447344e-01 0.000000e+00 
9.274173e-01 1.259522e+00 0.000000e+00 
1.439560e+00 5.249163e+00 0.000000e+00 
2.086566e+00 2.063135e+00 0.000000e+00 
4.660440e-01 2.286774e+00 1.000000e+00 
2.468319e+00 1.534787e+00 0.000000e+00 
1.603764e+00 2.328910e+00 0.000000e+00 
4.719725e-01 3.445173e-01 1.000000e+00 
1.531043e+00 5.335709e-01 0.000000e+00 
1.089947e+00 2.803363e+00 0.000000e+00 
8.618885e-01 2.221136e+00 1.000000e+00 
2.295317e-01 2.509966e+00 1.000000e+00 
1.827522e+00 8.710120e-01 0.000000e+00 
3.991463e-01 2.859064e+00 1.000000e+00 
2.473465e+00 5.533289e+00 0.000000e+00 
1.622195e+00 2.564413e+00 0.000000e+00 
1.572812e+00 4.916324e+00 0.000000e+00 
1.137948e+00 5.388603e+00 0.000000e+00 
6.962594e-01 5.477616e+00 1.000000e+00 
1.274731e+00 4.967765e+00 0.000000e+00 
1.689605e+00 3.311988e+00 0.000000e+00 
1.625119e+00 1.139900e+00 0.000000e+00 
5.323886e-01 3.519799e+00 1.000000e+00 
1.289105e+00 4.253770e+00 0.000000e+00 
9.365093e-01 5.784875e+00 0.000000e+00 
1.098328e+00 5.019458e+00 0.000000e+00 
2.525974e+00 4.098761e+00 0.000000e+00 
1.567733e+00 4.510230e+00 0.000000e+00 
1.209834e+00 5.176311e+00 0.000000e+00 
2.140345e+00 5.716234e+00 0.000000e+00 
1.599737e+00 6.081630e-01 0.000000e+00 
1.041538e+00 4.816973e+00 0.000000e+00 
1.875201e+00 8.939394e-01 0.000000e+00 
6.633819e-01 4.287757e+00 1.000000e+00 
1.926988e-01 4.374474e-01 1.000000e+00 
1.793929e+00 1.565894e+00 0.000000e+00 
5.952635e-01 3.343052e-01 1.000000e+00 
9.913182e-01 5.352396e+00 0.000000e+00 
1.384459e+00 1.292933e+00 0.000000e+00 
3.794416e-01 3.032469e+00 1.000000e+00 
1.291520e+00 5.435511e+00 0.000000e+00 
6.255298e-01 3.656295e+00 1.000000e+00 
2.223039e+00 2.704655e+00 0.000000e+00 
1.703565e+00 7.218841e-01 0.000000e+00 
2.034180e+00 3.761152e+00 0.000000e+00 
2.437572e+00 1.277734e+00 0.000000e+00 
2.513840e+00 3.856524e+00 0.000000e+00 
1.156853e+00 6.104153e+00 0.000000e+00 
2.155783e+00 3.001104e+00 0.000000e+00 
1.058533e+00 4.779577e+00 0.000000e+00 
8.670373e-01 5.044129e-01 1.000000e+00 
2.144185e+00 2.475832e+00 0.000000e+00 
2.027856e+00 9.655457e-01 0.000000e+00 
8.679868e-01 4.764270e+00 1.000000e+00 
1.932545e+00 4.130955e+00 0.000000e+00 
7.242059e-01 4.789626e+00 1.000000e+00 
4.079085e-01 5.868389e+00 1.000000e+00 
1.207969e+00 1.483595e+00 0.000000e+00 
1.309597e+00 1.159007e+00 0.000000e+00 
2.581337e+00 1.179888e+00 0.000000e+00 
1.998860e+00 4.864210e+00 0.000000e+00 
2.249819e+00 6.954131e-01 0.000000e+00 
5.498035e-01 5.842533e-01 1.000000e+00 
1.899975e+00 5.527126e-03 0.000000e+00 
2.650259e+00 2.702965e+00 0.000000e+00 
2.667487e+00 4.573383e-01 0.000000e+00 
9.464528e-01 4.215076e+00 0.000000e+00 
1.289237e+00 5.002708e+00 0.000000e+00 
6.730019e-01 4.887584e+00 1.000000e+00 
1.989996e+00 3.772883e-01 0.000000e+00 
2.836432e+00 2.892269e+00 0.000000e+00 
2.596622e+00 5.209712e+00 0.000000e+00 
9.832253e-01 3.655268e+00 0.000000e+00 
1.505625e+00 4.531448e+00 0.000000e+00 
1.362949e+00 4.880020e+00 0.000000e+00 
1.597923e+00 3.046316e+00 0.000000e+00 
1.880086e+00 4.801490e+00 0.000000e+00 
1.706558e+00 5.694940e+00 0.000000e+00 
2.422118e+00 3.779964e-01 0.000000e+00 
1.960718e+00 4.868335e+00 0.000000e+00 
1.398596e+00 2.280859e+00 0.000000e+00 
2.264325e+00 1.552577e+00 0.000000e+00 
7.216462e-01 2.161396e+00 1.000000e+00 
1.931578e+00 1.669849e+00 0.000000e+00 
1.172911e+00 2.745661e+00 0.000000e+00 
1.561010e+00 5.583311e+00 0.000000e+00 
1.644731e+00 1.967854e+00 0.000000e+00 
1.691166e+00 2.977395e+00 0.000000e+00 
1.219625e+00 4.463262e-01 0.000000e+00 
8.652975e-01 5.389847e+00 1.000000e+00 
1.290770e+00 4.771112e+00 0.000000e+00 
1.552686e+00 1.108630e+00 0.000000e+00 
9.652060e-01 8.520774e-01 0.000000e+00 
2.516144e+00 6.219168e+00 0.000000e+00 
2.439270e+00 2.781374e+00 0.000000e+00 
1.855330e+00 1.330797e+00 0.000000e+00 
2.719386e+00 1.706739e+00 0.000000e+00 
1.096209e+00 6.158816e+00 0.000000e+00 
1.647871e+00 3.132675e+00 0.000000e+00 
1.680863e+00 2.473509e+00 0.000000e+00 
1.316743e+00 1.863978e+00 0.000000e+00 
1.392171e+00 3.563376e+00 0.000000e+00 
8.731844e-01 4.133041e+00 1.000000e+00 
1.576085e+00 1.889150e+00 0.000000e+00 
1.824757e+00 4.005577e+00 0.000000e+00 
1.217092e+00 5.554761e+00 0.000000e+00 
1.084201e+00 5.537685e+00 0.000000e+00 
9.505676e-01 6.807273e-01 0.000000e+00 
1.016497e+00 5.228832e+00 0.000000e+00 
1.702508e+00 3.803993e+00 0.000000e+00 
6.535150e-01 4.359874e+00 1.000000e+00 
1.570234e+00 8.960591e-01 0.000000e+00 
1.844071e+00 2.405291e+00 0.000000e+00 
7.672823e-01 5.325743e+00 1.000000e+00 
8.284518e-01 3.240713e+00 1.000000e+00 
9.101304e-01 2.358361e+00 1.000000e+00 
1.324991e+00 4.880251e+00 0.000000e+00 
1.505529e+00 1.847642e+00 0.000000e+00 
