# 1D hohlraum problem 2021/03/19 10:15:18
x 3.000000e-01
t 6.000000e-01
N 128
# theta phi I
1.519704e+00 4.379008e+00 0.000000e+00 
2.179068e+00 2.560241e+00 0.000000e+00 
2.781440e-01 3.304009e+00 1.000000e+00 
7.830712e-01 4.230643e+00 1.000000e+00 
1.147990e+00 6.299235e-01 0.000000e+00 
2.893297e+00 8.406769e-02 0.000000e+00 
2.275084e+00 2.310907e+00 0.000000e+00 
1.788521e+00 2.471437e+00 0.000000e+00 
1.641160e+00 3.787254e-02 0.000000e+00 
1.351177e-01 2.648147e+00 1.000000e+00 
6.314997e-01 5.492431e+00 1.000000e+00 
1.527626e+00 6.975377e-01 0.000000e+00 
2.412457e+00 6.102387e+00 0.000000e+00 
1.384485e+00 9.133401e-01 0.000000e+00 
2.228440e+00 4.512808e-01 0.000000e+00 
1.221031e+00 4.815392e+00 0.000000e+00 
1.518034e+00 5.624996e+00 0.000000e+00 
1.973634e+00 5.529123e+00 0.000000e+00 
1.724618e+00 4.438327e+00 0.000000e+00 
2.696945e-01 5.159437e+00 1.000000e+00 
2.402275e+00 2.857905e+00 0.000000e+00 
1.889020e+00 5.017593e+00 0.000000e+00 
1.295532e+00 4.802360e+00 0.000000e+00 
1.006532e+00 1.168546e+00 1.000000e+00 
2.717615e+00 5.832126e+00 0.000000e+00 
2.321340e+00 2.235430e+00 0.000000e+00 
2.037935e+00 4.742090e+00 0.000000e+00 
1.640511e+00 5.155560e+00 0.000000e+00 
1.332377e+00 3.414450e+00 0.000000e+00 
2.164669e+00 5.170602e+00 0.000000e+00 
1.626063e+00 3.013756e+00 0.000000e+00 
2.755702e+00 4.887283e+00 0.000000e+00 
1.343150e+00 4.897017e+00 0.000000e+00 
1.449288e+00 3.107329e+00 0.000000e+00 
1.450121e+00 1.772462e+00 0.000000e+00 
2.385807e+00 2.560142e+00 0.000000e+00 
5.314550e-01 2.774228e+00 1.000000e+00 
2.074717e+00 2.365432e+00 0.000000e+00 
1.550223e+00 1.452731e+00 0.000000e+00 
8.527019e-01 4.876498e+00 1.000000e+00 
2.629708e-01 5.881750e+00 1.000000e+00 
1.043877e+00 1.879609e+00 1.000000e+00 
9.634694e-01 6.000397e+00 1.000000e+00 
1.749137e-01 6.281525e+00 1.000000e+00 
3.415148e-01 8.786190e-01 1.000000e+00 
1.606710e+00 4.917473e+00 0.000000e+00 
2.586129e+00 3.874920e+00 0.000000e+00 
2.756214e+00 2.561488e+00 0.000000e+00 
1.343564e-01 3.120081e+00 1.000000e+00 
1.289387e+00 5.781340e+00 0.000000e+00 
1.337802e+00 6.234749e+00 0.000000e+00 
2.224122e+00 3.724206e+00 0.000000e+00 
8.207795e-01 2.197180e+00 1.000000e+00 
1.354234e+00 5.920384e-02 0.000000e+00 
2.749383e+00 2.087237e+00 0.000000e+00 
1.388901e+00 2.833571e+00 0.000000e+00 
1.282289e+00 3.856262e+00 0.000000e+00 
1.143347e+00 1.097717e-01 0.000000e+00 
1.028632e+00 5.476423e+00 1.000000e+00 
1.780778e+00 2.709024e+00 0.000000e+00 
1.141399e+00 4.781209e-01 0.000000e+00 
1.778934e+00 1.869723e+00 0.000000e+00 
2.437578e+00 4.986971e+00 0.000000e+00 
1.298985e+00 2.157979e+00 0.000000e+00 
2.319710e+00 5.530526e+00 0.000000e+00 
2.704356e+00 6.234900e+00 0.000000e+00 
1.760082e+00 7.254432e-01 0.000000e+00 
1.898399e+00 1.472413e+00 0.000000e+00 
9.391129e-01 5.087841e+00 1.000000e+00 
2.509942e+00 5.217524e+00 0.000000e+00 
2.508120e+00 2.006635e+00 0.000000e+00 
1.201014e+00 4.055673e+00 0.000000e+00 
2.712457e+00 2.612831e+00 0.000000e+00 
1.623864e+00 2.604200e+00 0.000000e+00 
1.877410e+00 6.018484e+00 0.000000e+00 
2.289296e+00 1.417311e+00 0.000000e+00 
2.050173e+00 5.398519e+00 0.000000e+00 
6.722656e-01 2.089478e+00 1.000000e+00 
2.043916e+00 5.212336e+00 0.000000e+00 
1.150349e+00 3.230835e+00 0.000000e+00 
