# 1D hohlraum problem 2021/03/19 10:14:46
x 1.000000e-01
t 6.000000e-01
N 512
# theta phi I
1.064032e+00 4.783360e-01 1.000000e+00 
1.482957e+00 1.061587e+00 0.000000e+00 
3.930717e-01 1.204969e+00 1.000000e+00 
1.338204e+00 1.315321e+00 1.000000e+00 
1.718851e+00 5.088547e+00 0.000000e+00 
1.634146e+00 4.278853e-01 0.000000e+00 
1.936979e+00 3.799042e+00 0.000000e+00 
2.004807e+00 2.527691e+00 0.000000e+00 
1.943681e+00 5.927714e+00 0.000000e+00 
1.789494e+00 3.283321e+00 0.000000e+00 
1.572744e+00 5.062499e+00 0.000000e+00 
1.840814e+00 5.013295e-03 0.000000e+00 
2.193835e+00 6.005030e+00 0.000000e+00 
1.510348e+00 5.812238e+00 0.000000e+00 
1.383530e+00 7.093677e-01 1.000000e+00 
2.178998e+00 8.358555e-01 0.000000e+00 
1.042590e+00 2.371669e+00 1.000000e+00 
2.380141e+00 4.575070e+00 0.000000e+00 
1.262780e+00 8.160547e-01 1.000000e+00 
1.928439e+00 3.193004e-02 0.000000e+00 
1.316649e+00 4.782792e+00 1.000000e+00 
1.888859e+00 3.724331e-01 0.000000e+00 
2.777474e+00 3.086824e+00 0.000000e+00 
7.830392e-01 1.054867e+00 1.000000e+00 
7.274632e-01 1.865834e-01 1.000000e+00 
1.415404e+00 3.123399e+00 0.000000e+00 
1.682354e+00 3.873193e-01 0.000000e+00 
1.448001e+00 1.198570e+00 0.000000e+00 
2.043878e+00 3.595323e+00 0.000000e+00 
1.419531e+00 1.102995e+00 0.000000e+00 
5.758325e-01 3.711398e+00 1.000000e+00 
7.702552e-01 3.491475e+00 1.000000e+00 
7.963728e-01 6.642986e-01 1.000000e+00 
2.724646e+00 1.558531e+00 0.000000e+00 
1.948713e+00 3.282080e+00 0.000000e+00 
5.877446e-01 2.826865e+00 1.000000e+00 
2.839973e-01 4.646377e+00 1.000000e+00 
1.301975e+00 3.270294e+00 1.000000e+00 
1.509091e+00 7.370466e-01 0.000000e+00 
1.664302e+00 1.157305e+00 0.000000e+00 
1.547313e+00 3.641212e-01 0.000000e+00 
2.124513e+00 4.962531e+00 0.000000e+00 
8.698483e-01 3.195525e+00 1.000000e+00 
1.645310e+00 3.123004e+00 0.000000e+00 
1.864126e+00 2.391020e+00 0.000000e+00 
9.469773e-01 2.640063e+00 1.000000e+00 
1.587825e+00 3.835794e+00 0.000000e+00 
5.351502e-01 1.972228e+00 1.000000e+00 
6.959671e-01 5.036261e+00 1.000000e+00 
2.585727e+00 5.905004e-03 0.000000e+00 
2.831610e+00 1.464786e+00 0.000000e+00 
1.998251e+00 1.779201e+00 0.000000e+00 
2.584265e+00 5.766580e+00 0.000000e+00 
1.266414e+00 3.226931e+00 1.000000e+00 
1.234180e+00 5.048024e+00 1.000000e+00 
1.849898e+00 3.567732e+00 0.000000e+00 
1.567103e+00 5.436404e+00 0.000000e+00 
2.333127e-01 4.205962e+00 1.000000e+00 
1.189312e+00 2.086621e+00 1.000000e+00 
1.397729e+00 1.042610e-01 1.000000e+00 
2.786057e+00 3.285988e+00 0.000000e+00 
1.975951e+00 6.107342e+00 0.000000e+00 
1.663045e-01 2.250064e+00 1.000000e+00 
2.603583e+00 1.466161e+00 0.000000e+00 
7.756003e-01 2.878852e+00 1.000000e+00 
1.926291e+00 4.183727e+00 0.000000e+00 
2.628839e+00 5.776751e+00 0.000000e+00 
1.818245e+00 6.192954e+00 0.000000e+00 
1.419459e+00 4.720301e+00 0.000000e+00 
1.030783e+00 5.828750e-01 1.000000e+00 
1.976537e+00 3.500147e+00 0.000000e+00 
1.077870e+00 1.421936e+00 1.000000e+00 
2.502559e+00 4.949869e+00 0.000000e+00 
1.113152e+00 4.901618e+00 1.000000e+00 
2.047472e+00 1.155716e+00 0.000000e+00 
1.323772e+00 3.322786e+00 1.000000e+00 
1.909796e+00 1.210553e+00 0.000000e+00 
2.127607e+00 3.536698e+00 0.000000e+00 
7.765685e-01 5.413009e+00 1.000000e+00 
1.360083e+00 5.881764e-01 1.000000e+00 
2.263337e+00 2.879284e+00 0.000000e+00 
1.585733e+00 3.624986e+00 0.000000e+00 
1.236604e+00 1.205210e+00 1.000000e+00 
1.288813e+00 4.676348e+00 1.000000e+00 
2.011080e+00 3.624044e+00 0.000000e+00 
1.222368e+00 9.000738e-01 1.000000e+00 
5.438293e-01 1.286428e+00 1.000000e+00 
4.533236e-01 4.508089e+00 1.000000e+00 
3.154386e-01 1.712899e+00 1.000000e+00 
2.602302e+00 2.306898e+00 0.000000e+00 
1.447421e+00 4.403149e+00 0.000000e+00 
2.727432e+00 2.519787e+00 0.000000e+00 
3.641155e-01 3.456768e+00 1.000000e+00 
1.713759e+00 2.395466e+00 0.000000e+00 
6.417071e-01 4.212210e+00 1.000000e+00 
1.581527e+00 3.555996e+00 0.000000e+00 
1.712891e+00 3.643947e+00 0.000000e+00 
2.420981e+00 2.280794e+00 0.000000e+00 
1.484784e+00 3.023808e+00 0.000000e+00 
1.944176e+00 5.435118e+00 0.000000e+00 
