# 1D hohlraum problem 2021/03/19 10:14:44
x 1.000000e-01
t 6.000000e-01
N 128
# theta phi I
2.142567e+00 4.181883e+00 0.000000e+00 
1.716158e+00 2.489904e+00 0.000000e+00 
2.449100e+00 5.664730e+00 0.000000e+00 
2.154495e+00 3.044630e+00 0.000000e+00 
1.966817e+00 3.030355e+00 0.000000e+00 
1.956979e-01 2.159552e+00 1.000000e+00 
1.483143e+00 2.190907e-01 0.000000e+00 
1.939658e+00 5.550178e+00 0.000000e+00 
1.213592e+00 1.300205e+00 1.000000e+00 
1.916176e+00 5.842443e+00 0.000000e+00 
1.922747e+00 2.140747e+00 0.000000e+00 
2.614379e+00 9.538965e-01 0.000000e+00 
2.942027e+00 4.831141e+00 0.000000e+00 
1.523270e+00 2.234361e+00 0.000000e+00 
1.910794e+00 1.108667e+00 0.000000e+00 
1.427572e+00 2.348734e+00 0.000000e+00 
1.712351e+00 3.368989e+00 0.000000e+00 
1.000538e+00 1.122062e+00 1.000000e+00 
2.891558e+00 4.101879e+00 0.000000e+00 
1.507619e+00 1.262952e+00 0.000000e+00 
1.981751e+00 5.604816e+00 0.000000e+00 
1.056714e+00 4.975396e+00 1.000000e+00 
8.886827e-01 2.227543e+00 1.000000e+00 
3.830589e-01 5.409745e+00 1.000000e+00 
2.390609e+00 1.425035e+00 0.000000e+00 
2.865753e+00 5.450161e+00 0.000000e+00 
1.557196e+00 1.255344e+00 0.000000e+00 
2.059041e+00 5.448642e+00 0.000000e+00 
1.795910e+00 1.949317e-01 0.000000e+00 
1.118523e+00 1.139631e-01 1.000000e+00 
1.470965e+00 3.226457e+00 0.000000e+00 
2.615681e+00 5.178719e+00 0.000000e+00 
1.098304e+00 1.418155e+00 1.000000e+00 
2.349241e+00 1.668496e+00 0.000000e+00 
2.567811e+00 2.069305e+00 0.000000e+00 
2.234212e+00 1.468345e+00 0.000000e+00 
2.288216e+00 2.813304e+00 0.000000e+00 
1.950901e+00 3.726635e+00 0.000000e+00 
1.323499e+00 2.638677e+00 1.000000e+00 
1.286647e+00 2.556611e+00 1.000000e+00 
1.167393e+00 2.189457e+00 1.000000e+00 
1.890893e+00 3.256155e+00 0.000000e+00 
1.679581e+00 4.329186e-01 0.000000e+00 
1.418555e+00 3.091079e+00 0.000000e+00 
1.271740e+00 1.191144e+00 1.000000e+00 
3.946313e-01 2.771744e+00 1.000000e+00 
4.172327e-01 5.323294e+00 1.000000e+00 
1.424585e+00 5.837747e+00 0.000000e+00 
1.967915e+00 1.809975e+00 0.000000e+00 
1.561968e+00 3.790841e+00 0.000000e+00 
