# 1D hohlraum problem 2021/03/19 10:15:03
x 2.000000e-01
t 6.000000e-01
N 32
# theta phi I
2.686772e+00 5.012708e+00 0.000000e+00 
2.748384e+00 1.047093e+00 0.000000e+00 
2.715123e+00 1.430658e+00 0.000000e+00 
2.099889e+00 3.695272e+00 0.000000e+00 
1.829073e+00 5.858790e+00 0.000000e+00 
1.616549e+00 3.247388e+00 0.000000e+00 
1.407668e+00 3.829431e+00 0.000000e+00 
2.569175e+00 6.279736e+00 0.000000e+00 
1.025771e+00 5.849539e+00 1.000000e+00 
2.742518e+00 3.152169e+00 0.000000e+00 
2.975262e+00 4.219809e+00 0.000000e+00 
9.512857e-01 4.394743e+00 1.000000e+00 
2.059589e+00 1.324798e+00 0.000000e+00 
7.671313e-01 4.428308e+00 1.000000e+00 
7.057180e-01 4.868588e+00 1.000000e+00 
2.274113e+00 3.346014e+00 0.000000e+00 
2.206086e+00 7.784657e-01 0.000000e+00 
8.321654e-01 7.027850e-01 1.000000e+00 
1.125787e+00 3.563574e+00 1.000000e+00 
1.520944e+00 4.037926e+00 0.000000e+00 
1.781738e+00 5.271873e+00 0.000000e+00 
4.238082e-02 5.487378e+00 1.000000e+00 
2.313751e+00 5.908431e-02 0.000000e+00 
1.901617e+00 5.912433e+00 0.000000e+00 
1.551766e+00 5.659260e+00 0.000000e+00 
7.641285e-01 5.263987e+00 1.000000e+00 
1.518741e+00 2.126681e+00 0.000000e+00 
4.783296e-01 6.075040e+00 1.000000e+00 
1.436018e+00 9.786774e-02 0.000000e+00 
1.050621e+00 3.034018e+00 1.000000e+00 
7.281530e-01 5.595494e+00 1.000000e+00 
4.638111e-02 3.523821e+00 1.000000e+00 
# Exact (~1e-8) pressure tensor
4.814815e-01 0.000000e+00 0.000000e+00 
0.000000e+00 2.592593e-01 0.000000e+00 
0.000000e+00 0.000000e+00 2.592593e-01 
