# 1D hohlraum problem 2021/03/19 10:14:36
x 1.000000e-01
t 4.000000e-01
N 512
# theta phi I
9.096583e-01 5.116596e+00 1.000000e+00 
1.373219e+00 5.139114e+00 0.000000e+00 
1.914818e+00 4.401567e+00 0.000000e+00 
1.319205e+00 3.213243e+00 0.000000e+00 
1.287741e+00 3.473322e+00 1.000000e+00 
2.577753e+00 3.673052e+00 0.000000e+00 
1.416034e+00 5.844014e+00 0.000000e+00 
1.675542e+00 3.871523e+00 0.000000e+00 
2.025202e+00 1.465125e+00 0.000000e+00 
1.207704e+00 1.743727e+00 1.000000e+00 
1.334262e+00 5.981547e+00 0.000000e+00 
2.041438e+00 6.465922e-02 0.000000e+00 
1.878442e+00 3.453970e+00 0.000000e+00 
2.524027e+00 2.781097e+00 0.000000e+00 
1.687512e+00 3.971347e+00 0.000000e+00 
1.968268e+00 5.247416e+00 0.000000e+00 
4.765003e-01 1.842552e+00 1.000000e+00 
2.771574e+00 5.127611e+00 0.000000e+00 
9.693113e-01 3.273745e+00 1.000000e+00 
8.321705e-01 2.823783e+00 1.000000e+00 
1.893078e+00 4.680959e+00 0.000000e+00 
1.351883e+00 1.598967e+00 0.000000e+00 
1.537269e+00 1.061529e+00 0.000000e+00 
1.503708e+00 1.936262e+00 0.000000e+00 
3.523140e-01 2.405256e+00 1.000000e+00 
1.205862e+00 8.640139e-01 1.000000e+00 
3.683422e-01 1.939295e+00 1.000000e+00 
1.983493e+00 3.145714e+00 0.000000e+00 
2.699580e+00 1.664370e+00 0.000000e+00 
1.624944e+00 8.327305e-01 0.000000e+00 
1.956883e+00 3.621419e+00 0.000000e+00 
2.739886e+00 3.836718e+00 0.000000e+00 
1.103429e+00 1.783770e+00 1.000000e+00 
9.417924e-01 6.161923e+00 1.000000e+00 
1.864889e+00 5.052178e+00 0.000000e+00 
2.405442e+00 3.522058e+00 0.000000e+00 
1.746136e+00 6.059195e+00 0.000000e+00 
2.418921e+00 3.212303e+00 0.000000e+00 
2.132190e+00 4.281906e+00 0.000000e+00 
2.153292e+00 5.533254e+00 0.000000e+00 
2.177002e+00 1.127142e+00 0.000000e+00 
1.131972e+00 1.553431e+00 1.000000e+00 
1.768113e+00 2.254772e+00 0.000000e+00 
4.827083e-01 4.400797e-01 1.000000e+00 
1.089663e+00 1.294637e+00 1.000000e+00 
2.051477e+00 9.215564e-01 0.000000e+00 
8.273519e-01 4.997653e+00 1.000000e+00 
1.340691e+00 6.251819e+00 0.000000e+00 
1.500054e+00 4.141186e+00 0.000000e+00 
1.591505e+00 4.535182e+00 0.000000e+00 
7.596175e-01 1.887017e+00 1.000000e+00 
1.555261e+00 3.162151e+00 0.000000e+00 
1.125249e-01 2.303789e+00 1.000000e+00 
4.510876e-01 1.072519e+00 1.000000e+00 
2.771732e+00 2.978161e+00 0.000000e+00 
1.772874e+00 7.622175e-02 0.000000e+00 
1.608043e+00 4.066764e-01 0.000000e+00 
2.165910e+00 4.407012e+00 0.000000e+00 
8.493658e-01 3.324047e-01 1.000000e+00 
1.731279e+00 2.645379e+00 0.000000e+00 
1.675833e+00 4.741779e+00 0.000000e+00 
1.118464e+00 1.932606e+00 1.000000e+00 
1.755260e+00 6.204296e+00 0.000000e+00 
6.380907e-01 7.026836e-01 1.000000e+00 
1.013010e+00 2.353895e+00 1.000000e+00 
