# 1D hohlraum problem 2021/03/19 10:15:25
x 4.000000e-01
t 6.000000e-01
N 8
# theta phi I
2.239340e+00 4.733368e+00 0.000000e+00 
4.633136e-01 3.157719e+00 1.000000e+00 
8.419691e-01 2.246353e+00 0.000000e+00 
2.953490e+00 7.153528e-01 0.000000e+00 
1.411561e+00 1.823421e+00 0.000000e+00 
7.797080e-01 9.632775e-02 1.000000e+00 
1.340591e+00 5.918222e+00 0.000000e+00 
2.109568e+00 3.818330e+00 0.000000e+00 
# Exact (~1e-8) pressure tensor
7.037037e-01 0.000000e+00 0.000000e+00 
0.000000e+00 1.481482e-01 0.000000e+00 
0.000000e+00 0.000000e+00 1.481481e-01 
