# 1D hohlraum problem 2021/03/19 10:14:56
x 2.000000e-01
t 5.000000e-01
N 8
# theta phi I
2.025705e+00 2.371011e+00 0.000000e+00 
1.585119e+00 4.196329e+00 0.000000e+00 
1.413322e+00 2.437551e+00 0.000000e+00 
2.043279e+00 3.314194e+00 0.000000e+00 
1.803280e+00 4.816489e+00 0.000000e+00 
4.366791e-01 3.453835e+00 1.000000e+00 
1.437915e+00 2.757078e+00 0.000000e+00 
1.870079e+00 3.803521e+00 0.000000e+00 
# Exact (~1e-8) pressure tensor
5.200000e-01 0.000000e+00 0.000000e+00 
0.000000e+00 2.400000e-01 0.000000e+00 
0.000000e+00 0.000000e+00 2.400000e-01 
