# 1D hohlraum problem 2021/03/19 10:15:06
x 3.000000e-01
t 4.000000e-01
N 8
# theta phi I
2.185903e+00 3.301653e+00 0.000000e+00 
1.088644e+00 4.520066e+00 0.000000e+00 
4.707401e-01 1.261977e+00 1.000000e+00 
2.017357e+00 2.819501e-01 0.000000e+00 
8.665879e-01 2.587595e+00 0.000000e+00 
1.987773e+00 3.941503e+00 0.000000e+00 
1.288661e+00 4.928655e+00 0.000000e+00 
1.453446e+00 3.800316e+00 0.000000e+00 
# Exact (~1e-8) pressure tensor
7.708333e-01 0.000000e+00 0.000000e+00 
0.000000e+00 1.145833e-01 0.000000e+00 
0.000000e+00 0.000000e+00 1.145833e-01 
