# 1D hohlraum problem 2021/03/19 10:14:34
x 1.000000e-01
t 4.000000e-01
N 64
# theta phi I
1.992276e+00 3.547484e+00 0.000000e+00 
1.793866e+00 4.324686e-02 0.000000e+00 
8.808417e-01 1.143919e+00 1.000000e+00 
2.149880e+00 3.305847e+00 0.000000e+00 
2.944221e+00 6.951878e-01 0.000000e+00 
1.830485e+00 4.256904e+00 0.000000e+00 
1.846104e+00 2.911759e+00 0.000000e+00 
1.009222e+00 3.819517e+00 1.000000e+00 
7.673004e-01 3.905754e+00 1.000000e+00 
9.974961e-01 2.876406e+00 1.000000e+00 
1.601434e+00 2.939414e+00 0.000000e+00 
4.729472e-01 2.748546e-01 1.000000e+00 
2.076331e+00 4.749669e+00 0.000000e+00 
7.528367e-01 3.834645e+00 1.000000e+00 
1.343308e+00 8.969493e-01 0.000000e+00 
1.407390e+00 1.851925e+00 0.000000e+00 
7.957648e-01 2.740577e-01 1.000000e+00 
1.804401e+00 2.526904e+00 0.000000e+00 
1.743046e+00 1.809656e+00 0.000000e+00 
2.477407e+00 2.879414e+00 0.000000e+00 
1.513554e+00 5.660365e+00 0.000000e+00 
1.808060e+00 4.821588e+00 0.000000e+00 
2.185127e+00 2.086010e+00 0.000000e+00 
2.488233e+00 4.211089e+00 0.000000e+00 
2.183360e+00 4.068626e+00 0.000000e+00 
7.450575e-01 3.477517e+00 1.000000e+00 
6.546770e-01 3.415102e+00 1.000000e+00 
1.778107e+00 1.131898e+00 0.000000e+00 
3.053320e-01 9.409319e-01 1.000000e+00 
1.542052e+00 2.091824e+00 0.000000e+00 
1.000541e+00 3.752817e+00 1.000000e+00 
1.457250e+00 1.896143e+00 0.000000e+00 
2.385960e+00 4.001666e-02 0.000000e+00 
1.835468e+00 2.390440e+00 0.000000e+00 
3.104404e+00 5.588427e+00 0.000000e+00 
8.660551e-01 4.641899e+00 1.000000e+00 
1.612854e+00 2.088846e+00 0.000000e+00 
2.191777e+00 6.202508e+00 0.000000e+00 
1.476421e+00 4.879716e+00 0.000000e+00 
1.280475e+00 4.000516e+00 1.000000e+00 
4.716291e-01 1.757736e+00 1.000000e+00 
7.100725e-01 4.632754e+00 1.000000e+00 
2.586675e+00 3.919250e+00 0.000000e+00 
1.319895e+00 2.169399e+00 0.000000e+00 
2.193161e+00 3.321936e+00 0.000000e+00 
1.595471e+00 6.085425e+00 0.000000e+00 
1.410274e+00 3.901130e+00 0.000000e+00 
1.031109e+00 4.847676e+00 1.000000e+00 
1.218024e+00 5.655595e+00 1.000000e+00 
1.067043e+00 4.394578e+00 1.000000e+00 
9.663898e-01 1.475147e+00 1.000000e+00 
1.803813e+00 1.979195e+00 0.000000e+00 
9.466162e-01 4.594834e+00 1.000000e+00 
1.593245e+00 6.191566e+00 0.000000e+00 
1.273198e+00 1.273626e+00 1.000000e+00 
1.215793e+00 4.218190e+00 1.000000e+00 
2.620784e+00 4.965173e+00 0.000000e+00 
1.496946e+00 3.078812e-01 0.000000e+00 
2.189604e+00 3.868184e+00 0.000000e+00 
2.295566e+00 2.948863e+00 0.000000e+00 
1.721546e+00 6.536829e-01 0.000000e+00 
1.358817e+00 1.459621e+00 0.000000e+00 
8.484106e-01 3.565735e+00 1.000000e+00 
1.519414e+00 3.810346e+00 0.000000e+00 
# Exact (~1e-8) pressure tensor
4.375000e-01 0.000000e+00 0.000000e+00 
0.000000e+00 2.812500e-01 0.000000e+00 
0.000000e+00 0.000000e+00 2.812500e-01 
