# 1D hohlraum problem 2021/03/19 10:14:38
x 1.000000e-01
t 5.000000e-01
N 16
# theta phi I
2.942846e+00 5.828690e-01 0.000000e+00 
2.088803e+00 5.033007e+00 0.000000e+00 
1.900099e+00 3.138139e+00 0.000000e+00 
1.517730e+00 2.450269e+00 0.000000e+00 
1.735702e+00 4.391427e+00 0.000000e+00 
1.481029e+00 4.485051e+00 0.000000e+00 
1.223686e+00 3.954643e+00 1.000000e+00 
2.268680e+00 2.770244e-01 0.000000e+00 
1.704683e+00 7.573282e-01 0.000000e+00 
5.011645e-01 2.798108e+00 1.000000e+00 
2.462183e+00 4.691187e+00 0.000000e+00 
1.239961e+00 4.260568e+00 1.000000e+00 
1.045884e+00 2.590167e+00 1.000000e+00 
4.153007e-01 3.683142e+00 1.000000e+00 
1.858701e+00 5.533429e+00 0.000000e+00 
1.439328e+00 3.295075e+00 0.000000e+00 
# Exact (~1e-8) pressure tensor
4.166667e-01 0.000000e+00 0.000000e+00 
0.000000e+00 2.933333e-01 0.000000e+00 
0.000000e+00 0.000000e+00 2.933333e-01 
