# 1D hohlraum problem 2021/03/19 10:14:23
x 1.000000e-01
t 2.000000e-01
N 8
# theta phi I
2.568282e+00 3.601141e+00 0.000000e+00 
2.322047e+00 2.631170e+00 0.000000e+00 
1.624067e+00 4.144840e+00 0.000000e+00 
1.431680e+00 5.715367e+00 0.000000e+00 
6.510808e-01 6.215815e+00 1.000000e+00 
2.875050e-01 2.103526e+00 1.000000e+00 
1.537963e+00 6.137857e+00 0.000000e+00 
1.668422e+00 5.900883e+00 0.000000e+00 
# Exact (~1e-8) pressure tensor
5.833333e-01 0.000000e+00 0.000000e+00 
0.000000e+00 2.083333e-01 0.000000e+00 
0.000000e+00 0.000000e+00 2.083333e-01 
