# 1D hohlraum problem 2021/03/19 10:15:16
x 3.000000e-01
t 6.000000e-01
N 16
# theta phi I
1.036577e+00 9.715650e-01 1.000000e+00 
1.829907e+00 5.921515e+00 0.000000e+00 
8.010014e-01 5.407126e-01 1.000000e+00 
2.627371e+00 5.446056e-01 0.000000e+00 
1.617083e+00 2.504773e+00 0.000000e+00 
9.705283e-01 3.086965e+00 1.000000e+00 
6.060629e-01 4.870164e+00 1.000000e+00 
1.826629e+00 1.836573e+00 0.000000e+00 
1.506699e+00 5.060208e+00 0.000000e+00 
1.317025e+00 3.937686e+00 0.000000e+00 
3.108769e+00 4.431466e+00 0.000000e+00 
2.566724e+00 5.899765e+00 0.000000e+00 
6.309098e-01 3.088399e+00 1.000000e+00 
2.304214e+00 4.948304e+00 0.000000e+00 
1.167856e+00 6.072463e+00 0.000000e+00 
1.123027e+00 1.772585e+00 0.000000e+00 
# Exact (~1e-8) pressure tensor
5.833333e-01 0.000000e+00 0.000000e+00 
0.000000e+00 2.083333e-01 0.000000e+00 
0.000000e+00 0.000000e+00 2.083333e-01 
