# 1D hohlraum problem 2021/03/19 10:15:29
x 4.000000e-01
t 6.000000e-01
N 256
# theta phi I
1.878845e+00 3.678374e+00 0.000000e+00 
1.396153e+00 5.384963e+00 0.000000e+00 
2.852442e+00 1.990808e+00 0.000000e+00 
1.446033e+00 1.961338e+00 0.000000e+00 
1.048198e+00 2.073420e+00 0.000000e+00 
9.352944e-01 4.049409e+00 0.000000e+00 
2.669923e+00 8.653207e-01 0.000000e+00 
4.894540e-01 6.098102e+00 1.000000e+00 
1.711364e+00 1.863194e-01 0.000000e+00 
6.737082e-01 2.008134e+00 1.000000e+00 
1.762539e+00 3.655381e+00 0.000000e+00 
1.117289e+00 3.911308e+00 0.000000e+00 
1.288531e+00 2.395348e+00 0.000000e+00 
5.951076e-01 4.246330e+00 1.000000e+00 
2.812763e+00 5.189028e+00 0.000000e+00 
2.297291e+00 1.032323e+00 0.000000e+00 
1.981209e+00 1.168011e+00 0.000000e+00 
1.716218e+00 5.791496e+00 0.000000e+00 
2.576966e+00 1.395785e+00 0.000000e+00 
1.032255e+00 5.591127e+00 0.000000e+00 
9.735382e-01 3.291849e+00 0.000000e+00 
2.660023e+00 3.461818e+00 0.000000e+00 
1.732303e+00 3.834568e+00 0.000000e+00 
1.861366e+00 5.079150e-01 0.000000e+00 
2.229237e+00 8.365862e-02 0.000000e+00 
1.031963e+00 3.907937e+00 0.000000e+00 
1.491717e-01 3.448209e+00 1.000000e+00 
1.318261e+00 4.127846e+00 0.000000e+00 
1.064359e+00 6.994268e-01 0.000000e+00 
3.840470e-01 2.946882e+00 1.000000e+00 
1.083342e+00 8.941593e-02 0.000000e+00 
8.280202e-01 4.241340e+00 1.000000e+00 
1.300739e+00 3.366741e+00 0.000000e+00 
1.480436e+00 1.403003e+00 0.000000e+00 
1.102985e+00 4.944017e+00 0.000000e+00 
2.810830e+00 2.584937e+00 0.000000e+00 
1.648792e+00 1.783815e+00 0.000000e+00 
6.900033e-01 2.856847e-01 1.000000e+00 
1.034297e+00 2.529896e+00 0.000000e+00 
1.881626e+00 1.938161e+00 0.000000e+00 
1.969453e+00 2.527937e+00 0.000000e+00 
2.508354e+00 7.647449e-01 0.000000e+00 
2.255425e+00 1.483884e+00 0.000000e+00 
2.040880e+00 4.927270e+00 0.000000e+00 
1.684111e+00 5.532326e+00 0.000000e+00 
1.828180e+00 2.101541e+00 0.000000e+00 
2.735379e+00 5.408103e+00 0.000000e+00 
1.744033e+00 4.683604e+00 0.000000e+00 
2.769531e+00 3.648447e+00 0.000000e+00 
2.335382e+00 2.031596e+00 0.000000e+00 
2.195565e+00 3.067088e+00 0.000000e+00 
1.240020e+00 5.678070e+00 0.000000e+00 
2.038213e+00 3.134076e-01 0.000000e+00 
2.047342e+00 4.237490e+00 0.000000e+00 
1.246668e+00 4.422313e+00 0.000000e+00 
1.084789e+00 1.472046e+00 0.000000e+00 
1.115365e+00 5.134113e+00 0.000000e+00 
1.415310e+00 3.097240e+00 0.000000e+00 
1.352299e+00 3.081044e+00 0.000000e+00 
1.640802e+00 1.789665e+00 0.000000e+00 
8.436563e-01 4.761644e-02 0.000000e+00 
8.137857e-01 1.047775e-01 1.000000e+00 
1.852844e+00 4.681371e+00 0.000000e+00 
1.956246e+00 5.686656e+00 0.000000e+00 
1.085819e+00 2.951949e+00 0.000000e+00 
1.353875e+00 2.774854e+00 0.000000e+00 
1.380131e+00 2.612370e-01 0.000000e+00 
6.084153e-01 1.077270e+00 1.000000e+00 
