# 1D hohlraum problem 2021/03/19 10:15:17
x 3.000000e-01
t 6.000000e-01
N 32
# theta phi I
4.247985e-01 2.388102e+00 1.000000e+00 
1.841178e+00 6.645457e-01 0.000000e+00 
1.483839e+00 6.136849e+00 0.000000e+00 
2.097760e+00 4.706565e+00 0.000000e+00 
2.552328e+00 4.148324e+00 0.000000e+00 
1.950061e+00 6.100220e+00 0.000000e+00 
1.018965e+00 1.314689e+00 1.000000e+00 
9.652939e-01 5.582917e+00 1.000000e+00 
1.333835e+00 3.926831e+00 0.000000e+00 
2.282744e+00 6.282790e+00 0.000000e+00 
2.485147e+00 3.643273e+00 0.000000e+00 
2.522341e+00 2.082996e+00 0.000000e+00 
7.574380e-01 3.634966e+00 1.000000e+00 
9.958765e-01 9.621646e-01 1.000000e+00 
2.708170e+00 4.930629e+00 0.000000e+00 
2.459881e+00 7.162804e-01 0.000000e+00 
1.416141e+00 4.830972e+00 0.000000e+00 
1.801769e+00 5.288195e+00 0.000000e+00 
1.374877e+00 7.939407e-01 0.000000e+00 
8.267384e-01 2.313157e-01 1.000000e+00 
1.264577e+00 2.975273e+00 0.000000e+00 
1.021498e+00 3.139523e+00 1.000000e+00 
2.022963e+00 5.740509e+00 0.000000e+00 
2.107087e+00 2.389977e+00 0.000000e+00 
2.382783e+00 4.690886e+00 0.000000e+00 
1.663230e+00 2.618299e+00 0.000000e+00 
2.076452e+00 4.134175e+00 0.000000e+00 
1.932149e+00 4.579318e+00 0.000000e+00 
1.666502e+00 3.517545e+00 0.000000e+00 
1.475626e+00 1.698835e-01 0.000000e+00 
1.011025e+00 2.992754e+00 1.000000e+00 
1.257683e+00 2.697665e+00 0.000000e+00 
# Exact (~1e-8) pressure tensor
5.833333e-01 0.000000e+00 0.000000e+00 
0.000000e+00 2.083333e-01 0.000000e+00 
0.000000e+00 0.000000e+00 2.083333e-01 
