# 1D hohlraum problem 2021/03/19 10:15:28
x 4.000000e-01
t 6.000000e-01
N 128
# theta phi I
1.115923e+00 5.300369e+00 0.000000e+00 
2.000400e+00 4.296216e+00 0.000000e+00 
8.677370e-01 4.002866e+00 0.000000e+00 
2.860781e-01 1.004835e+00 1.000000e+00 
1.039686e+00 5.285805e+00 0.000000e+00 
1.760963e+00 2.277272e+00 0.000000e+00 
2.042447e+00 5.394532e+00 0.000000e+00 
1.370589e+00 6.329068e-01 0.000000e+00 
2.785530e+00 5.908501e+00 0.000000e+00 
1.962769e+00 2.500525e-01 0.000000e+00 
1.644396e+00 4.954013e+00 0.000000e+00 
1.720777e+00 4.003358e+00 0.000000e+00 
2.666954e+00 3.765189e-01 0.000000e+00 
1.703878e+00 1.063675e+00 0.000000e+00 
1.680641e+00 7.443988e-01 0.000000e+00 
2.375985e+00 5.905546e+00 0.000000e+00 
2.142958e+00 4.992344e+00 0.000000e+00 
1.985046e+00 1.449939e-01 0.000000e+00 
2.013617e+00 5.429360e+00 0.000000e+00 
9.920695e-01 4.526483e+00 0.000000e+00 
1.867889e+00 1.852478e+00 0.000000e+00 
7.999431e-01 2.356357e-01 1.000000e+00 
1.235296e+00 4.893205e+00 0.000000e+00 
9.168852e-01 4.440669e+00 0.000000e+00 
1.929355e+00 1.996336e+00 0.000000e+00 
5.234915e-01 2.165684e+00 1.000000e+00 
1.047681e+00 1.180369e+00 0.000000e+00 
1.687913e+00 3.727053e+00 0.000000e+00 
2.403107e+00 1.574211e+00 0.000000e+00 
6.391814e-01 6.168788e+00 1.000000e+00 
1.548862e+00 3.606085e+00 0.000000e+00 
2.617727e+00 5.840812e+00 0.000000e+00 
1.473042e+00 6.053793e+00 0.000000e+00 
1.617978e+00 5.203908e-01 0.000000e+00 
1.217373e+00 6.455456e-01 0.000000e+00 
1.294872e+00 1.717620e+00 0.000000e+00 
2.233023e+00 2.461703e+00 0.000000e+00 
1.235287e+00 8.933802e-01 0.000000e+00 
1.361056e+00 9.817677e-01 0.000000e+00 
2.283352e+00 4.129770e-01 0.000000e+00 
9.729683e-01 4.776407e+00 0.000000e+00 
2.634953e+00 9.746278e-01 0.000000e+00 
1.647700e+00 2.058195e+00 0.000000e+00 
1.264805e+00 4.908022e+00 0.000000e+00 
1.529936e+00 5.658478e+00 0.000000e+00 
2.254807e+00 2.860797e+00 0.000000e+00 
1.346565e+00 3.169438e+00 0.000000e+00 
1.227102e+00 3.481034e+00 0.000000e+00 
2.707400e+00 3.058132e+00 0.000000e+00 
1.844489e+00 4.368448e+00 0.000000e+00 
4.557794e-01 5.546825e+00 1.000000e+00 
1.075750e+00 2.681250e+00 0.000000e+00 
4.184008e-01 4.791897e-01 1.000000e+00 
2.616931e+00 5.874686e+00 0.000000e+00 
9.968223e-01 2.063863e-01 0.000000e+00 
1.749767e+00 2.209604e+00 0.000000e+00 
1.788105e+00 4.858031e+00 0.000000e+00 
8.920043e-01 2.316472e-02 0.000000e+00 
