# 1D hohlraum problem 2021/03/19 10:14:29
x 1.000000e-01
t 3.000000e-01
N 64
# theta phi I
9.433321e-01 4.110994e+00 1.000000e+00 
2.305662e+00 7.201157e-02 0.000000e+00 
1.422891e+00 3.910204e+00 0.000000e+00 
6.100608e-01 3.567849e+00 1.000000e+00 
7.440259e-01 4.374433e+00 1.000000e+00 
1.112495e+00 4.269525e+00 1.000000e+00 
1.789099e+00 5.996945e+00 0.000000e+00 
1.168028e+00 5.363645e+00 1.000000e+00 
1.093761e+00 4.006801e+00 1.000000e+00 
2.937952e+00 4.861289e+00 0.000000e+00 
9.494002e-01 4.000409e+00 1.000000e+00 
9.126463e-01 5.396662e+00 1.000000e+00 
2.260390e+00 5.484077e+00 0.000000e+00 
9.755535e-01 5.258804e-01 1.000000e+00 
8.355834e-01 5.697147e+00 1.000000e+00 
2.275252e+00 2.841680e-01 0.000000e+00 
2.342590e+00 5.904377e+00 0.000000e+00 
1.316729e-01 1.405863e+00 1.000000e+00 
1.412383e+00 4.740603e-01 0.000000e+00 
9.120594e-01 6.170397e+00 1.000000e+00 
1.946527e+00 5.581608e+00 0.000000e+00 
2.198502e+00 3.518229e+00 0.000000e+00 
1.140220e+00 5.621342e+00 1.000000e+00 
2.384674e+00 1.835429e+00 0.000000e+00 
6.279717e-01 2.518994e+00 1.000000e+00 
1.240425e+00 4.527440e+00 0.000000e+00 
9.782115e-01 4.608916e+00 1.000000e+00 
2.147915e+00 3.256803e+00 0.000000e+00 
4.090043e-01 4.026222e+00 1.000000e+00 
1.127866e+00 6.267164e-01 1.000000e+00 
6.568825e-01 2.264268e+00 1.000000e+00 
1.497179e+00 9.188530e-01 0.000000e+00 
2.871554e+00 2.130431e+00 0.000000e+00 
2.438492e+00 1.253404e+00 0.000000e+00 
1.857031e+00 4.539083e+00 0.000000e+00 
1.697587e+00 2.403266e+00 0.000000e+00 
7.689560e-01 4.667899e+00 1.000000e+00 
1.466171e+00 1.932031e+00 0.000000e+00 
1.813051e+00 2.160596e+00 0.000000e+00 
2.022238e+00 3.497724e+00 0.000000e+00 
1.628739e+00 5.692275e+00 0.000000e+00 
1.885522e+00 1.630022e+00 0.000000e+00 
2.644108e+00 6.170226e+00 0.000000e+00 
2.341635e+00 3.722449e+00 0.000000e+00 
1.017047e+00 5.509716e+00 1.000000e+00 
1.755913e+00 4.059487e+00 0.000000e+00 
1.120782e+00 5.116590e+00 1.000000e+00 
1.290257e+00 5.568654e+00 0.000000e+00 
2.475068e+00 4.761764e+00 0.000000e+00 
7.124843e-01 1.712586e+00 1.000000e+00 
8.598112e-01 6.177902e+00 1.000000e+00 
4.017562e-01 1.791655e+00 1.000000e+00 
7.559108e-01 4.299951e-01 1.000000e+00 
1.233872e+00 5.121069e+00 0.000000e+00 
1.205081e+00 4.203285e-02 1.000000e+00 
1.727259e+00 6.063603e+00 0.000000e+00 
2.444001e+00 3.465975e+00 0.000000e+00 
1.027739e+00 4.140191e+00 1.000000e+00 
2.039346e+00 2.355416e+00 0.000000e+00 
1.298913e+00 7.835550e-01 0.000000e+00 
2.134098e+00 2.677195e+00 0.000000e+00 
2.037013e+00 4.357562e+00 0.000000e+00 
1.397025e+00 4.379995e+00 0.000000e+00 
1.457007e+00 3.856151e+00 0.000000e+00 
# Exact (~1e-8) pressure tensor
4.814815e-01 0.000000e+00 0.000000e+00 
0.000000e+00 2.592593e-01 0.000000e+00 
0.000000e+00 0.000000e+00 2.592593e-01 
